"Sales invoice 1 dated 28.01.2021 18:48:53","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","",""
"Register  ""R2001 Sales""","","","","","","","","","","","",""
"","Period","Resources","","","","Dimensions","","","","","",""
"","","Quantity","Amount","Net amount","Offers amount","Company","Branch","Multi currency movement type","Currency","Invoice","Item key","Row key"
"","28.01.2021 18:48:53","1","16,26","13,78","0,86","Main Company","Distribution department","Reporting currency","USD","Sales invoice 1 dated 28.01.2021 18:48:53","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0"
"","28.01.2021 18:48:53","1","84,57","71,67","4,45","Main Company","Distribution department","Reporting currency","USD","Sales invoice 1 dated 28.01.2021 18:48:53","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a"
"","28.01.2021 18:48:53","1","95","80,51","5","Main Company","Distribution department","Local currency","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0"
"","28.01.2021 18:48:53","1","95","80,51","5","Main Company","Distribution department","TRY","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0"
"","28.01.2021 18:48:53","1","95","80,51","5","Main Company","Distribution department","en description is empty","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0"
"","28.01.2021 18:48:53","1","494","418,64","26","Main Company","Distribution department","Local currency","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a"
"","28.01.2021 18:48:53","1","494","418,64","26","Main Company","Distribution department","TRY","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a"
"","28.01.2021 18:48:53","1","494","418,64","26","Main Company","Distribution department","en description is empty","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a"
"","28.01.2021 18:48:53","10","569,24","482,41","29,96","Main Company","Distribution department","Reporting currency","USD","Sales invoice 1 dated 28.01.2021 18:48:53","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595"
"","28.01.2021 18:48:53","10","3 325","2 817,8","175","Main Company","Distribution department","Local currency","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595"
"","28.01.2021 18:48:53","10","3 325","2 817,8","175","Main Company","Distribution department","TRY","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595"
"","28.01.2021 18:48:53","10","3 325","2 817,8","175","Main Company","Distribution department","en description is empty","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595"
