"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","f42c33a9-cfb3-4f7a-84fe-e2a8c866ba09","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 000"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","f42c33a9-cfb3-4f7a-84fe-e2a8c866ba09","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1784","5,6054","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","178,4"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","576d514c-a03b-4496-a1f0-97e8d27b21db","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,84","0,1712","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","5 840"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","576d514c-a03b-4496-a1f0-97e8d27b21db","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","1 000"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","721df37e-a8ed-426a-b635-dff1ef2c7edd","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","6","0,1667","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","6 000"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","721df37e-a8ed-426a-b635-dff1ef2c7edd","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","1 100"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","44a19aae-14cc-4844-bdc8-797c76433a78","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","10 000"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","44a19aae-14cc-4844-bdc8-797c76433a78","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","5,84","0,1712","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","58 400"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","3b8faa29-552a-4973-887b-95d5910a238c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5","0,2","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","25 000"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","3b8faa29-552a-4973-887b-95d5910a238c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","5 000"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","56ce9a87-7fe3-4649-9da0-0326897a0ddb","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","6,5","0,1538","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","52 000"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d9226e","56ce9a87-7fe3-4649-9da0-0326897a0ddb","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","8 800"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d92270","ae2db5b9-17fe-411f-ad64-097cda61a524","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","100"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d92270","ae2db5b9-17fe-411f-ad64-097cda61a524","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,17","5,8824","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","17"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d92270","d1396d1a-4a30-48cb-9003-88763ec7c8d0","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","100"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d92270","d1396d1a-4a30-48cb-9003-88763ec7c8d0","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,17","5,8824","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","17"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d92270","da08940f-c44e-490d-ab30-04d83d7a3149","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","200"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d92270","da08940f-c44e-490d-ab30-04d83d7a3149","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,17","5,8824","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","34"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d92270","cbae6569-e98d-4777-a5fb-f46b92cac00c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","6","0,1667","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 200"
"e1cib/data/Document.OpeningEntry?ref=aa78120ed92fbced11eaf13781d92270","cbae6569-e98d-4777-a5fb-f46b92cac00c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","5,5","0,1818","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","1 100"
