"Ref","FullName","Synonym"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e32","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e32","Document.GoodsReceipt","Goods receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e32","Document.PurchaseOrder","Purchase order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e33","Document.SalesInvoice","Sales invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e33","Document.ShipmentConfirmation","Shipment confirmation"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e33","Document.GoodsReceipt","Goods receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e33","Document.SalesOrder","Sales order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e34","Document.SalesInvoice","Sales invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e34","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e34","Document.SalesOrder","Sales order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e34","Document.PurchaseOrder","Purchase order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e35","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e35","Document.SalesOrder","Sales order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e35","Document.PurchaseOrder","Purchase order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b0","Document.InventoryTransferOrder","Inventory transfer order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b0","Document.PurchaseOrder","Purchase order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b0","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b0","Document.GoodsReceipt","Goods receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b0","Document.PlannedReceiptReservation","Planned receipt reservation"
