"Purchase return order 231 dated 14.03.2021 18:52:33","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","",""
"Register  ""R1010 Purchase orders""","","","","","","","","","","","",""
"","Period","Resources","","","Dimensions","","","","","","","Attributes"
"","","Quantity","Amount","Net amount","Company","Branch","Multi currency movement type","Currency","Order","Item key","Row key","Deferred calculation"
"","14.03.2021 18:52:33","1","30,82","26,11","Main Company","Front office","Reporting currency","USD","Purchase return order 231 dated 14.03.2021 18:52:33","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","No"
"","14.03.2021 18:52:33","1","180","152,54","Main Company","Front office","Local currency","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","No"
"","14.03.2021 18:52:33","1","180","152,54","Main Company","Front office","TRY","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","No"
"","14.03.2021 18:52:33","1","180","152,54","Main Company","Front office","en description is empty","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","36/Yellow","923e7825-c20f-4a3e-a983-2b85d80e475a","No"
"","14.03.2021 18:52:33","2","46,22","39,17","Main Company","Front office","Reporting currency","USD","Purchase return order 231 dated 14.03.2021 18:52:33","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","No"
"","14.03.2021 18:52:33","2","270","228,81","Main Company","Front office","Local currency","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","No"
"","14.03.2021 18:52:33","2","270","228,81","Main Company","Front office","TRY","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","No"
"","14.03.2021 18:52:33","2","270","228,81","Main Company","Front office","en description is empty","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","Interner","1b90516b-b3ac-4ca5-bb47-44477975f242","No"
"","14.03.2021 18:52:33","5","77,04","65,29","Main Company","Front office","Reporting currency","USD","Purchase return order 231 dated 14.03.2021 18:52:33","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","No"
"","14.03.2021 18:52:33","5","450","381,36","Main Company","Front office","Local currency","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","No"
"","14.03.2021 18:52:33","5","450","381,36","Main Company","Front office","TRY","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","No"
"","14.03.2021 18:52:33","5","450","381,36","Main Company","Front office","en description is empty","TRY","Purchase return order 231 dated 14.03.2021 18:52:33","S/Yellow","4fcbb4cf-3824-47fb-89b5-50d151315d4d","No"
