Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                      4820 RDP-Tcp#73                 4  2В 379В 116 K
1cv8.exe                     11112 RDP-Tcp#73                 4  1В 439В 256 K
1cv8.exe                     11584 RDP-Tcp#73                 4  1В 614В 552 K
1cv8.exe                     13640 RDP-Tcp#73                 4  1В 453В 708 K
1cv8.exe                     16600 RDP-Tcp#73                 4  1В 318В 532 K
1cv8c.exe                     1396 RDP-Tcp#73                 4    642В 104 K
1cv8c.exe                     5816 RDP-Tcp#82                 6  1В 635В 772 K
1cv8c.exe                     6096 RDP-Tcp#73                 4    653В 332 K
1cv8c.exe                     9640 RDP-Tcp#73                 4    587В 688 K
1cv8c.exe                     9700 RDP-Tcp#82                 6    684В 832 K
1cv8c.exe                    17412 RDP-Tcp#73                 4    630В 916 K
cmd.exe                      17648 RDP-Tcp#73                 4      3В 404 K
Code.exe                      1392 RDP-Tcp#128                2     70В 900 K
Code.exe                      4956 RDP-Tcp#128                2     26В 804 K
Code.exe                      5980 RDP-Tcp#82                 6     26В 544 K
Code.exe                      8204 RDP-Tcp#82                 6     33В 236 K
Code.exe                      8720 RDP-Tcp#82                 6     72В 112 K
Code.exe                      9776 RDP-Tcp#82                 6     84В 760 K
Code.exe                     11980 RDP-Tcp#128                2     66В 312 K
Code.exe                     12020 RDP-Tcp#128                2     14В 096 K
Code.exe                     12100 RDP-Tcp#82                 6     14В 032 K
Code.exe                     12948 RDP-Tcp#128                2     54В 172 K
Code.exe                     12960 RDP-Tcp#82                 6     69В 140 K
Code.exe                     13088 RDP-Tcp#128                2     62В 832 K
Code.exe                     13572 RDP-Tcp#82                 6     30В 396 K
Code.exe                     13876 RDP-Tcp#128                2     29В 752 K
Code.exe                     14660 RDP-Tcp#82                 6    171В 884 K
Code.exe                     15576 RDP-Tcp#128                2    145В 008 K
Code.exe                     16200 RDP-Tcp#82                 6    160В 956 K
Code.exe                     16404 RDP-Tcp#82                 6     64В 708 K
Code.exe                     16720 RDP-Tcp#82                 6     77В 764 K
CodeHelper.exe                5404 RDP-Tcp#82                 6     14В 656 K
CodeHelper.exe               13988 RDP-Tcp#82                 6     14В 556 K
conhost.exe                   2892 RDP-Tcp#82                 6      8В 164 K
conhost.exe                   5312 RDP-Tcp#73                 4      7В 092 K
conhost.exe                   6700                            3      9В 340 K
conhost.exe                   7272 RDP-Tcp#73                 4      9В 616 K
conhost.exe                   9668 RDP-Tcp#73                 4      7В 092 K
conhost.exe                  10160                            5      9В 356 K
conhost.exe                  11996 RDP-Tcp#73                 4      7В 080 K
conhost.exe                  12168 RDP-Tcp#73                 4      7В 048 K
conhost.exe                  12220 RDP-Tcp#73                 4      7В 116 K
conhost.exe                  13012 RDP-Tcp#82                 6      8В 164 K
conhost.exe                  13596 RDP-Tcp#73                 4      9В 536 K
conhost.exe                  13980 RDP-Tcp#73                 4     10В 944 K
conhost.exe                  14312 RDP-Tcp#73                 4      7В 088 K
conhost.exe                  15964 RDP-Tcp#73                 4      7В 088 K
csrss.exe                      512 Services                   0      4В 264 K
csrss.exe                      604 Console                    1      4В 064 K
csrss.exe                     3816 RDP-Tcp#128                2     13В 568 K
csrss.exe                     5020                            3     12В 212 K
csrss.exe                     6972 RDP-Tcp#73                 4     13В 240 K
csrss.exe                     7164                            5     10В 996 K
csrss.exe                    14072 RDP-Tcp#82                 6      7В 628 K
dbgs.exe                      2684 RDP-Tcp#73                 4    204В 200 K
dwm.exe                        532                            3     43В 700 K
dwm.exe                       1016 Console                    1     29В 724 K
dwm.exe                       4028 RDP-Tcp#128                2     77В 704 K
dwm.exe                       7140 RDP-Tcp#73                 4     77В 524 K
dwm.exe                       8240                            5     42В 920 K
dwm.exe                      16412 RDP-Tcp#82                 6    114В 928 K
