"Inventory transfer 204 dated 01.03.2021 10:32:49","","","","",""
"Document registrations records","","","","",""
"Register  ""R4011 Free stocks""","","","","",""
"","Record type","Period","Resources","Dimensions",""
"","","","Quantity","Store","Item key"
"","Receipt","*","2","Store 03","36/Yellow"
"","Receipt","*","10","Store 03","S/Yellow"
"","Receipt","*","10","Store 03","XS/Blue"
"","Receipt","*","15","Store 03","36/Red"
"","Expense","*","2","Store 02","36/Yellow"
"","Expense","*","10","Store 02","S/Yellow"
"","Expense","*","10","Store 02","XS/Blue"
"","Expense","*","15","Store 02","36/Red"
