"Sales return 101 dated 12.03.2021 08:44:18","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","",""
"Register  ""R2005 Sales special offers""","","","","","","","","","","","","",""
"","Period","Resources","","","","Dimensions","","","","","","",""
"","","Sales amount","Net amount","Offers amount","Net offer amount","Company","Branch","Multi currency movement type","Currency","Invoice","Item key","Row key","Special offer"
"","12.03.2021 08:44:18","-665","-563,56","-35","","Main Company","Distribution department","Local currency","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595","DocumentDiscount"
"","12.03.2021 08:44:18","-665","-563,56","-35","","Main Company","Distribution department","TRY","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595","DocumentDiscount"
"","12.03.2021 08:44:18","-665","-563,56","-35","","Main Company","Distribution department","en description is empty","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595","DocumentDiscount"
"","12.03.2021 08:44:18","-494","-418,64","-26","","Main Company","Distribution department","Local currency","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a","DocumentDiscount"
"","12.03.2021 08:44:18","-494","-418,64","-26","","Main Company","Distribution department","TRY","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a","DocumentDiscount"
"","12.03.2021 08:44:18","-494","-418,64","-26","","Main Company","Distribution department","en description is empty","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a","DocumentDiscount"
"","12.03.2021 08:44:18","-113,85","-96,48","-5,99","","Main Company","Distribution department","Reporting currency","USD","Sales invoice 1 dated 28.01.2021 18:48:53","36/Red","3a8fe357-b7bd-4d83-8816-c8348bbf4595","DocumentDiscount"
"","12.03.2021 08:44:18","-95","-80,51","-5","","Main Company","Distribution department","Local currency","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","DocumentDiscount"
"","12.03.2021 08:44:18","-95","-80,51","-5","","Main Company","Distribution department","TRY","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","DocumentDiscount"
"","12.03.2021 08:44:18","-95","-80,51","-5","","Main Company","Distribution department","en description is empty","TRY","Sales invoice 1 dated 28.01.2021 18:48:53","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","DocumentDiscount"
"","12.03.2021 08:44:18","-84,57","-71,67","-4,45","","Main Company","Distribution department","Reporting currency","USD","Sales invoice 1 dated 28.01.2021 18:48:53","XS/Blue","0cb89084-5857-45fc-b333-4fbec2c2e90a","DocumentDiscount"
"","12.03.2021 08:44:18","-16,26","-13,78","-0,86","","Main Company","Distribution department","Reporting currency","USD","Sales invoice 1 dated 28.01.2021 18:48:53","Interner","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","DocumentDiscount"
