"Retail sales receipt 202 dated 28.07.2021 13:53:27","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","",""
"Register  ""R5021 Revenues""","","","","","","","","","","",""
"","Period","Resources","","Dimensions","","","","","","",""
"","","Amount","Amount with taxes","Company","Branch","Profit loss center","Revenue type","Item key","Currency","Additional analytic","Multi currency movement type"
"","28.07.2021 13:53:27","75,44","89,02","Main Company","Shop 01","Shop 01","Revenue","XS/Blue","USD","","Reporting currency"
"","28.07.2021 13:53:27","116,07","136,96","Main Company","Shop 01","Shop 01","Revenue","38/Yellow","USD","","Reporting currency"
"","28.07.2021 13:53:27","440,68","520","Main Company","Shop 01","Shop 01","Revenue","XS/Blue","TRY","","Local currency"
"","28.07.2021 13:53:27","440,68","520","Main Company","Shop 01","Shop 01","Revenue","XS/Blue","TRY","","TRY"
"","28.07.2021 13:53:27","440,68","520","Main Company","Shop 01","Shop 01","Revenue","XS/Blue","TRY","","en description is empty"
"","28.07.2021 13:53:27","677,96","799,99","Main Company","Shop 01","Shop 01","Revenue","38/Yellow","TRY","","Local currency"
"","28.07.2021 13:53:27","677,96","799,99","Main Company","Shop 01","Shop 01","Revenue","38/Yellow","TRY","","TRY"
"","28.07.2021 13:53:27","677,96","799,99","Main Company","Shop 01","Shop 01","Revenue","38/Yellow","TRY","","en description is empty"
"","28.07.2021 13:53:27","1 331,56","1 571,24","Main Company","Shop 01","Shop 01","Revenue","36/18SD","USD","","Reporting currency"
"","28.07.2021 13:53:27","7 777,8","9 177,8","Main Company","Shop 01","Shop 01","Revenue","36/18SD","TRY","","Local currency"
"","28.07.2021 13:53:27","7 777,8","9 177,8","Main Company","Shop 01","Shop 01","Revenue","36/18SD","TRY","","TRY"
"","28.07.2021 13:53:27","7 777,8","9 177,8","Main Company","Shop 01","Shop 01","Revenue","36/18SD","TRY","","en description is empty"
