"Outgoing payment order 323 dated 07.09.2020 19:23:44","","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","","",""
"Register  ""R3035 Cash planning""","","","","","","","","","","","","","",""
"","Period","Resources","Dimensions","","","","","","","","","","","Attributes"
"","","Amount","Company","Branch","Basis document","Account","Currency","Cash flow direction","Partner","Legal name","Multi currency movement type","Financial movement type","Planning period","Deferred calculation"
"","07.09.2020 19:23:44","85,6","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","USD","Outgoing","Kalipso","Company Kalipso","Reporting currency","Movement type 1","First","No"
"","07.09.2020 19:23:44","154,08","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","USD","Outgoing","Ferron BP","Company Ferron BP","Reporting currency","Movement type 1","First","No"
"","07.09.2020 19:23:44","171,2","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","USD","Outgoing","Ferron BP","Company Ferron BP","Reporting currency","Movement type 1","First","No"
"","07.09.2020 19:23:44","500","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","TRY","Outgoing","Kalipso","Company Kalipso","Local currency","Movement type 1","First","No"
"","07.09.2020 19:23:44","500","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","TRY","Outgoing","Kalipso","Company Kalipso","en description is empty","Movement type 1","First","No"
"","07.09.2020 19:23:44","900","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","TRY","Outgoing","Ferron BP","Company Ferron BP","Local currency","Movement type 1","First","No"
"","07.09.2020 19:23:44","900","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","TRY","Outgoing","Ferron BP","Company Ferron BP","en description is empty","Movement type 1","First","No"
"","07.09.2020 19:23:44","1 000","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","TRY","Outgoing","Ferron BP","Company Ferron BP","Local currency","Movement type 1","First","No"
"","07.09.2020 19:23:44","1 000","Main Company","Front office","Outgoing payment order 323 dated 07.09.2020 19:23:44","Bank account, TRY","TRY","Outgoing","Ferron BP","Company Ferron BP","en description is empty","Movement type 1","First","No"
