
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:1408         127.0.0.1:54857        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54901        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54907        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54914        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54919        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54942        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54944        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54949        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54951        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54962        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54965        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54969        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54972        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54992        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54995        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:54999        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:55001        ESTABLISHED     2684
  TCP    127.0.0.1:53376        127.0.0.1:53377        ESTABLISHED     10576
  TCP    127.0.0.1:53377        127.0.0.1:53376        ESTABLISHED     10576
  TCP    127.0.0.1:53378        127.0.0.1:53379        ESTABLISHED     9760
  TCP    127.0.0.1:53379        127.0.0.1:53378        ESTABLISHED     9760
  TCP    127.0.0.1:53380        127.0.0.1:53381        ESTABLISHED     14592
  TCP    127.0.0.1:53381        127.0.0.1:53380        ESTABLISHED     14592
  TCP    127.0.0.1:53384        127.0.0.1:53385        ESTABLISHED     16544
  TCP    127.0.0.1:53385        127.0.0.1:53384        ESTABLISHED     16544
  TCP    127.0.0.1:53393        127.0.0.1:53394        ESTABLISHED     17276
  TCP    127.0.0.1:53394        127.0.0.1:53393        ESTABLISHED     17276
  TCP    127.0.0.1:53408        127.0.0.1:53409        ESTABLISHED     13220
