"Incoming payment order 113 dated 01.06.2021 10:53:53","","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","","",""
"Register  ""R3035 Cash planning""","","","","","","","","","","","","","",""
"","Period","Resources","Dimensions","","","","","","","","","","","Attributes"
"","","Amount","Company","Branch","Basis document","Account","Currency","Cash flow direction","Partner","Legal name","Multi currency movement type","Financial movement type","Planning period","Deferred calculation"
"","01.06.2021 10:53:53","34,24","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","USD","Incoming","Kalipso","Company Kalipso","Reporting currency","Movement type 1","First","No"
"","01.06.2021 10:53:53","68,48","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","USD","Incoming","Kalipso","Company Kalipso","Reporting currency","Movement type 1","First","No"
"","01.06.2021 10:53:53","85,6","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","USD","Incoming","Lomaniti","Company Lomaniti","Reporting currency","Movement type 1","First","No"
"","01.06.2021 10:53:53","200","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","TRY","Incoming","Kalipso","Company Kalipso","Local currency","Movement type 1","First","No"
"","01.06.2021 10:53:53","200","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","TRY","Incoming","Kalipso","Company Kalipso","en description is empty","Movement type 1","First","No"
"","01.06.2021 10:53:53","400","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","TRY","Incoming","Kalipso","Company Kalipso","Local currency","Movement type 1","First","No"
"","01.06.2021 10:53:53","400","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","TRY","Incoming","Kalipso","Company Kalipso","en description is empty","Movement type 1","First","No"
"","01.06.2021 10:53:53","500","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","TRY","Incoming","Lomaniti","Company Lomaniti","Local currency","Movement type 1","First","No"
"","01.06.2021 10:53:53","500","Main Company","Shop 01","Incoming payment order 113 dated 01.06.2021 10:53:53","Bank account, TRY","TRY","Incoming","Lomaniti","Company Lomaniti","en description is empty","Movement type 1","First","No"
