Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                      9652 RDP-Tcp#73                 4  1В 608В 160 K
1cv8.exe                     15356 RDP-Tcp#73                 4  1В 415В 912 K
1cv8.exe                     17080 RDP-Tcp#73                 4  1В 514В 460 K
1cv8.exe                     17708 RDP-Tcp#73                 4  1В 636В 768 K
1cv8.exe                     17776 RDP-Tcp#73                 4  1В 360В 632 K
1cv8c.exe                     9204 RDP-Tcp#73                 4    805В 452 K
1cv8c.exe                    10144 RDP-Tcp#73                 4    698В 292 K
1cv8c.exe                    10536 RDP-Tcp#82                 6    500В 936 K
1cv8c.exe                    14844 RDP-Tcp#73                 4    684В 084 K
1cv8c.exe                    18384 RDP-Tcp#73                 4    862В 212 K
cmd.exe                      17952 RDP-Tcp#73                 4      3В 408 K
Code.exe                      1392 RDP-Tcp#128                2     69В 872 K
Code.exe                      4956 RDP-Tcp#128                2     26В 436 K
Code.exe                      5980 RDP-Tcp#82                 6     26В 676 K
Code.exe                      8204 RDP-Tcp#82                 6     43В 580 K
Code.exe                      8720 RDP-Tcp#82                 6     72В 592 K
Code.exe                      9776 RDP-Tcp#82                 6     90В 060 K
Code.exe                     11980 RDP-Tcp#128                2     66В 332 K
Code.exe                     12020 RDP-Tcp#128                2     14В 096 K
Code.exe                     12100 RDP-Tcp#82                 6     14В 016 K
Code.exe                     12948 RDP-Tcp#128                2     54В 180 K
Code.exe                     12960 RDP-Tcp#82                 6     70В 968 K
Code.exe                     13088 RDP-Tcp#128                2     62В 832 K
Code.exe                     13572 RDP-Tcp#82                 6     30В 956 K
Code.exe                     13876 RDP-Tcp#128                2     29В 916 K
Code.exe                     14660 RDP-Tcp#82                 6    212В 464 K
Code.exe                     15576 RDP-Tcp#128                2    146В 292 K
Code.exe                     16200 RDP-Tcp#82                 6    179В 200 K
Code.exe                     16404 RDP-Tcp#82                 6     65В 848 K
Code.exe                     16720 RDP-Tcp#82                 6     83В 900 K
CodeHelper.exe                5404 RDP-Tcp#82                 6     14В 672 K
CodeHelper.exe               13988 RDP-Tcp#82                 6     14В 848 K
conhost.exe                    448 RDP-Tcp#73                 4      7В 092 K
conhost.exe                   2892 RDP-Tcp#82                 6      8В 164 K
conhost.exe                   4532 RDP-Tcp#73                 4      7В 092 K
conhost.exe                   6700                            3      9В 340 K
conhost.exe                   7272 RDP-Tcp#73                 4      9В 596 K
conhost.exe                   7632 RDP-Tcp#73                 4      7В 092 K
conhost.exe                  10160                            5      9В 356 K
conhost.exe                  12220 RDP-Tcp#73                 4      6В 788 K
conhost.exe                  12316 RDP-Tcp#73                 4     11В 108 K
conhost.exe                  13012 RDP-Tcp#82                 6      8В 164 K
conhost.exe                  13596 RDP-Tcp#73                 4      8В 460 K
conhost.exe                  15404 RDP-Tcp#73                 4      7В 096 K
conhost.exe                  15964 RDP-Tcp#73                 4      6В 716 K
conhost.exe                  17436 RDP-Tcp#73                 4      7В 104 K
csrss.exe                      512 Services                   0      4В 268 K
csrss.exe                      604 Console                    1      4В 064 K
csrss.exe                     3816 RDP-Tcp#128                2     13В 568 K
csrss.exe                     5020                            3     12В 212 K
csrss.exe                     6972 RDP-Tcp#73                 4     13В 988 K
csrss.exe                     7164                            5     10В 996 K
csrss.exe                    14072 RDP-Tcp#82                 6     15В 480 K
dbgs.exe                      2684 RDP-Tcp#73                 4    444В 200 K
dwm.exe                        532                            3     43В 700 K
dwm.exe                       1016 Console                    1     29В 724 K
dwm.exe                       4028 RDP-Tcp#128                2     77В 704 K
dwm.exe                       7140 RDP-Tcp#73                 4     79В 184 K
dwm.exe                       8240                            5     42В 920 K
dwm.exe                      16412 RDP-Tcp#82                 6    105В 004 K
explorer.exe                  4664 RDP-Tcp#128                2     82В 852 K
explorer.exe                  6072                            3     70В 464 K
explorer.exe                  7444 RDP-Tcp#73                 4     93В 712 K
explorer.exe                  9196                            5     71В 000 K
explorer.exe                 11024 RDP-Tcp#82                 6    108В 872 K
firefox.exe                   3108 RDP-Tcp#128                2    295В 564 K
firefox.exe                   4084 RDP-Tcp#128                2    215В 208 K
