"Ref","DeletionMark","Code","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_PartnersBankAccounts","False","1","Partners bank accounts","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Agreements","False","2","Partner terms","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_BankTerms","False","3","Bank terms","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_BusinessUnits","False","4","Business units","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_CashAccounts","False","5","Cash accounts","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_CashStatementStatuses","False","6","Cash statement statuses","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_ChequeBonds","False","7","","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Companies","False","8","Companies","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_CompanyTypes","False","9","Company types","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Countries","False","10","Countries","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Currencies","False","11","Currencies","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_ExpenseAndRevenueTypes","False","12","Expense and revenue types","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Files","False","13","Files","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Hardware","False","14","Hardware","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_ItemKeys","False","15","Item Keys","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Items","False","16","Items","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_ItemSegments","False","17","Item segments","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_ItemTypes","False","18","Item types","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Partners","False","19","Partners","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_PartnerSegments","False","20","Partner segments","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_PaymentTerminals","False","21","Payment terminals","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_PaymentTypes","False","22","Payment types","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_PriceKeys","False","23","Price keys","","",""
