"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb481153093fe","8b2aeb39-e8e5-4a51-9eba-0dbf19dcf16f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","2 000"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb481153093fe","8b2aeb39-e8e5-4a51-9eba-0dbf19dcf16f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 000"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb481153093fe","8b2aeb39-e8e5-4a51-9eba-0dbf19dcf16f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","342,4"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309400","0e546b84-0897-48a1-99f5-65807e78d4e1","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","944"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309400","0e546b84-0897-48a1-99f5-65807e78d4e1","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","944"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309400","0e546b84-0897-48a1-99f5-65807e78d4e1","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","161,61"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309402","1ba3b447-2cc0-4ea4-8f4b-5328863fbd17","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","1 000"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309402","1ba3b447-2cc0-4ea4-8f4b-5328863fbd17","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 000"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309402","1ba3b447-2cc0-4ea4-8f4b-5328863fbd17","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","171,2"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309405","7e1f6bbe-363e-4539-a7bc-ee28985f401f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","2 000"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309405","7e1f6bbe-363e-4539-a7bc-ee28985f401f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 000"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309405","7e1f6bbe-363e-4539-a7bc-ee28985f401f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","342,4"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309409","f2def629-e1fc-447b-99ba-d74f56e4245b","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","12 400"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309409","f2def629-e1fc-447b-99ba-d74f56e4245b","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","12 400"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb48115309409","f2def629-e1fc-447b-99ba-d74f56e4245b","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","2 122,88"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb4811530940b","1ef6c1ad-f28d-4d9d-8aca-7d23eff136de","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","20 000"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb4811530940b","1ef6c1ad-f28d-4d9d-8aca-7d23eff136de","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","20 000"
"e1cib/data/Document.SalesInvoice?ref=b76790ebcbe4b2b311ebb4811530940b","1ef6c1ad-f28d-4d9d-8aca-7d23eff136de","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","3 424"
