"Purchase invoice 117 dated 12.02.2021 15:12:15","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","",""
"Register  ""R1021 Vendors transactions""","","","","","","","","","","","","",""
"","Record type","Period","Resources","Dimensions","","","","","","","","Attributes",""
"","","","Amount","Company","Branch","Multi currency movement type","Currency","Legal name","Partner","Agreement","Basis","Deferred calculation","Vendors advances closing"
"","Receipt","12.02.2021 15:12:15","765,26","Main Company","Front office","Reporting currency","USD","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No",""
"","Receipt","12.02.2021 15:12:15","4 470","Main Company","Front office","Local currency","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No",""
"","Receipt","12.02.2021 15:12:15","4 470","Main Company","Front office","TRY","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No",""
"","Receipt","12.02.2021 15:12:15","4 470","Main Company","Front office","en description is empty","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No",""
"","Expense","12.02.2021 15:12:15","85,6","Main Company","Front office","Reporting currency","USD","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","337,26","Main Company","Front office","Reporting currency","USD","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","342,4","Main Company","Front office","Reporting currency","USD","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","500","Main Company","Front office","Local currency","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","500","Main Company","Front office","TRY","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","500","Main Company","Front office","en description is empty","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","1 970","Main Company","Front office","Local currency","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","1 970","Main Company","Front office","TRY","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","1 970","Main Company","Front office","en description is empty","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","2 000","Main Company","Front office","Local currency","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","2 000","Main Company","Front office","TRY","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
"","Expense","12.02.2021 15:12:15","2 000","Main Company","Front office","en description is empty","TRY","Company Ferron BP","Ferron BP","Vendor Ferron, TRY","Purchase invoice 117 dated 12.02.2021 15:12:15","No","Vendors advances closing 1 dated 12.02.2021 22:00:00"
