"Ref","Role","Configuration"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b327098e","BasicRole","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b327098e","RunMobileClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b327098e","RunThinClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b327098e","RunWebClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b327098f","RunThinClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b327098f","RunWebClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270990","RunThinClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270990","RunWebClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270991","BasicRole","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270991","FullAccess","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270991","RunMobileClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270991","RunThickClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270991","RunThinClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270991","RunWebClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270990","FullAccess","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270990","BasicRole","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b327098e","FullAccessOnlyRead","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270992","RunMobileClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270992","RunThickClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270992","RunThinClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270992","RunWebClient","IRP"
"e1cib/data/Catalog.AccessProfiles?ref=aa78120ed92fbced11eaf116b3270993","BasicRole","IRP"
