"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce2224","02b26808-3d53-4d01-b1d7-ae9735f381c6","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796b","1 610"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce2224","02b26808-3d53-4d01-b1d7-ae9735f381c6","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","1 382,99"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce2224","02b26808-3d53-4d01-b1d7-ae9735f381c6","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","1 610"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce2224","02b26808-3d53-4d01-b1d7-ae9735f381c6","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222c","cec516a2-bb8c-4629-8a2f-257c64d58653","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796b","2 835"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222c","cec516a2-bb8c-4629-8a2f-257c64d58653","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","2 435,27"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222c","cec516a2-bb8c-4629-8a2f-257c64d58653","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","2 835"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222c","cec516a2-bb8c-4629-8a2f-257c64d58653","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222f","d83dc80f-21d6-4bd9-8c7e-ef2d7f0a68d0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796b","3 510"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222f","d83dc80f-21d6-4bd9-8c7e-ef2d7f0a68d0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","3 015,09"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222f","d83dc80f-21d6-4bd9-8c7e-ef2d7f0a68d0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","3 510"
"e1cib/data/Document.SalesOrder?ref=b76cbacb2511e57d11ebeab0dfce222f","d83dc80f-21d6-4bd9-8c7e-ef2d7f0a68d0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
