Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                      7152 RDP-Tcp#73                 4  1В 309В 640 K
1cv8.exe                      7240 RDP-Tcp#73                 4  1В 425В 588 K
1cv8.exe                     14844 RDP-Tcp#73                 4  1В 212В 992 K
1cv8.exe                     17080 RDP-Tcp#73                 4  1В 744В 080 K
1cv8.exe                     17776 RDP-Tcp#73                 4  1В 407В 384 K
1cv8c.exe                      704 RDP-Tcp#73                 4    796В 264 K
1cv8c.exe                     6556 RDP-Tcp#73                 4     70В 124 K
1cv8c.exe                    10536 RDP-Tcp#82                 6  1В 556В 780 K
1cv8c.exe                    15168 RDP-Tcp#73                 4    486В 728 K
1cv8c.exe                    15704 RDP-Tcp#73                 4    744В 632 K
1cv8c.exe                    18396 RDP-Tcp#82                 6    888В 140 K
cmd.exe                      14880 RDP-Tcp#73                 4      3В 388 K
Code.exe                      1392 RDP-Tcp#128                2     70В 668 K
Code.exe                      4956 RDP-Tcp#128                2     26В 460 K
Code.exe                      5980 RDP-Tcp#82                 6     26В 716 K
Code.exe                      8204 RDP-Tcp#82                 6     43В 676 K
Code.exe                      8720 RDP-Tcp#82                 6     72В 680 K
Code.exe                      9776 RDP-Tcp#82                 6     90В 080 K
Code.exe                     11980 RDP-Tcp#128                2     66В 360 K
Code.exe                     12020 RDP-Tcp#128                2     14В 096 K
Code.exe                     12100 RDP-Tcp#82                 6     14В 016 K
Code.exe                     12948 RDP-Tcp#128                2     54В 180 K
Code.exe                     12960 RDP-Tcp#82                 6     70В 068 K
Code.exe                     13088 RDP-Tcp#128                2     62В 496 K
Code.exe                     13572 RDP-Tcp#82                 6     31В 044 K
Code.exe                     13876 RDP-Tcp#128                2     29В 920 K
Code.exe                     14660 RDP-Tcp#82                 6    205В 768 K
Code.exe                     15576 RDP-Tcp#128                2    146В 700 K
Code.exe                     16200 RDP-Tcp#82                 6    176В 252 K
Code.exe                     16404 RDP-Tcp#82                 6     65В 552 K
Code.exe                     16720 RDP-Tcp#82                 6     80В 928 K
CodeHelper.exe                5404 RDP-Tcp#82                 6     14В 688 K
CodeHelper.exe               13988 RDP-Tcp#82                 6     14В 848 K
conhost.exe                    448 RDP-Tcp#73                 4      7В 092 K
conhost.exe                   2892 RDP-Tcp#82                 6      8В 164 K
conhost.exe                   4532 RDP-Tcp#73                 4      7В 092 K
conhost.exe                   4716 RDP-Tcp#73                 4      7В 096 K
conhost.exe                   6700                            3      9В 340 K
conhost.exe                   7272 RDP-Tcp#73                 4      9В 596 K
conhost.exe                   7972 RDP-Tcp#73                 4      7В 112 K
conhost.exe                  10160                            5      9В 356 K
conhost.exe                  12220 RDP-Tcp#73                 4      6В 788 K
conhost.exe                  13012 RDP-Tcp#82                 6      8В 164 K
conhost.exe                  13596 RDP-Tcp#73                 4      8В 460 K
conhost.exe                  15956 RDP-Tcp#73                 4     11В 048 K
conhost.exe                  15964 RDP-Tcp#73                 4      6В 716 K
conhost.exe                  16328 RDP-Tcp#73                 4      7В 092 K
csrss.exe                      512 Services                   0      4В 268 K
csrss.exe                      604 Console                    1      4В 064 K
csrss.exe                     3816 RDP-Tcp#128                2     13В 568 K
csrss.exe                     5020                            3     12В 212 K
csrss.exe                     6972 RDP-Tcp#73                 4     13В 824 K
csrss.exe                     7164                            5     10В 996 K
csrss.exe                    14072 RDP-Tcp#82                 6      6В 892 K
dbgs.exe                      2684 RDP-Tcp#73                 4    444В 532 K
dwm.exe                        532                            3     43В 704 K
dwm.exe                       1016 Console                    1     29В 724 K
dwm.exe                       4028 RDP-Tcp#128                2     77В 704 K
dwm.exe                       7140 RDP-Tcp#73                 4     79В 440 K
dwm.exe                       8240                            5     42В 920 K
dwm.exe                      16412 RDP-Tcp#82                 6    116В 160 K
explorer.exe                  4664 RDP-Tcp#128                2     82В 868 K
explorer.exe                  6072                            3     70В 600 K
explorer.exe                  7444 RDP-Tcp#73                 4     93В 764 K
explorer.exe                  9196                            5     70В 984 K
explorer.exe                 11024 RDP-Tcp#82                 6    103В 508 K
firefox.exe                   3108 RDP-Tcp#128                2    297В 624 K
firefox.exe                   4084 RDP-Tcp#128                2    212В 048 K
firefox.exe                   4144 RDP-Tcp#82                 6    153В 500 K
firefox.exe                   6084 RDP-Tcp#128                2     31В 896 K
firefox.exe                   6224 RDP-Tcp#82                 6     32В 028 K
firefox.exe                   7604 RDP-Tcp#128                2     69В 164 K
firefox.exe                   8276 RDP-Tcp#128                2     74В 512 K
firefox.exe                   9760 RDP-Tcp#82                 6     16В 032 K
firefox.exe                  10576 RDP-Tcp#82                 6    355В 328 K
firefox.exe                  10820 RDP-Tcp#128                2     97В 044 K
firefox.exe                  13220 RDP-Tcp#82                 6    497В 528 K
firefox.exe                  13440 RDP-Tcp#82                 6     22В 284 K
firefox.exe                  14592 RDP-Tcp#82                 6    200В 516 K
firefox.exe                  14608 RDP-Tcp#128                2    116В 464 K
firefox.exe                  16544 RDP-Tcp#82                 6     89В 096 K
firefox.exe                  17276 RDP-Tcp#82                 6     54В 276 K
