"Item stock adjustment 1 dated 27.01.2021 19:04:15","","","","",""
"Document registrations records","","","","",""
"Register  ""R4011 Free stocks""","","","","",""
"","Record type","Period","Resources","Dimensions",""
"","","","Quantity","Store","Item key"
"","Receipt","27.01.2021 19:04:15","5","Store 02","36/Yellow"
"","Receipt","27.01.2021 19:04:15","10","Store 02","37/18SD"
"","Receipt","27.01.2021 19:04:15","16","Store 02","XS/Blue"
"","Expense","27.01.2021 19:04:15","5","Store 02","38/Yellow"
"","Expense","27.01.2021 19:04:15","10","Store 02","38/18SD"
"","Expense","27.01.2021 19:04:15","16","Store 02","S/Yellow"
