"Ref","Key","Tax","Analytics","TaxRate","Amount","IncludeToTotalAmount","ManualAmount"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","a6a2f994-5e03-4485-a1c6-b29cc116795a","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","15.25","True","15.25"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","ad7e4f0f-b32a-4d00-bbba-4628f00fb14e","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","83.9","True","83.9"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","b68314e4-1ca0-4d45-ade7-621a46d7f72a","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","167.8","True","167.8"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","ce7276e5-98a6-42ac-9a49-7988dd986215","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","402.71","True","402.71"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","39bbbdd3-8292-431d-a403-92cc2d0d37a9","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","16.78","True","16.78"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","a3b792fe-2714-45af-9b52-4d70e833a20c","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","15.25","True","15.25"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","b5659adb-03dd-4cab-939e-cdb114d5a276","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","83.9","True","83.9"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","6a6c1b3d-6070-4487-a2c2-bac14a890223","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","16.78","True","16.78"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","8ec163ec-7832-48b1-8621-67774a216239","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","184.58","True","184.58"
"e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","dcefa40d-3c97-4a26-b243-64d637f204c3","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","604.07","True","604.07"
