"Sales return 102 dated 12.03.2021 08:50:27","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","",""
"Register  ""R2001 Sales""","","","","","","","","","","","",""
"","Period","Resources","","","","Dimensions","","","","","",""
"","","Quantity","Amount","Net amount","Offers amount","Company","Branch","Multi currency movement type","Currency","Invoice","Item key","Row key"
"","12.03.2021 08:50:27","-2","-665","-563,56","-35","Main Company","Logistics department","Local currency","TRY","Sales return 102 dated 12.03.2021 08:50:27","36/Red","512b5626-66dc-4fc0-b96e-359108f4d7b7"
"","12.03.2021 08:50:27","-2","-665","-563,56","-35","Main Company","Logistics department","TRY","TRY","Sales return 102 dated 12.03.2021 08:50:27","36/Red","512b5626-66dc-4fc0-b96e-359108f4d7b7"
"","12.03.2021 08:50:27","-2","-665","-563,56","-35","Main Company","Logistics department","en description is empty","TRY","Sales return 102 dated 12.03.2021 08:50:27","36/Red","512b5626-66dc-4fc0-b96e-359108f4d7b7"
"","12.03.2021 08:50:27","-2","-113,85","-96,48","-5,99","Main Company","Logistics department","Reporting currency","USD","Sales return 102 dated 12.03.2021 08:50:27","36/Red","512b5626-66dc-4fc0-b96e-359108f4d7b7"
"","12.03.2021 08:50:27","-1","-494","-418,64","-26","Main Company","Logistics department","Local currency","TRY","Sales return 102 dated 12.03.2021 08:50:27","XS/Blue","c77b27bd-8d19-4d55-b590-bd5ecc463efd"
"","12.03.2021 08:50:27","-1","-494","-418,64","-26","Main Company","Logistics department","TRY","TRY","Sales return 102 dated 12.03.2021 08:50:27","XS/Blue","c77b27bd-8d19-4d55-b590-bd5ecc463efd"
"","12.03.2021 08:50:27","-1","-494","-418,64","-26","Main Company","Logistics department","en description is empty","TRY","Sales return 102 dated 12.03.2021 08:50:27","XS/Blue","c77b27bd-8d19-4d55-b590-bd5ecc463efd"
"","12.03.2021 08:50:27","-1","-95","-80,51","-5","Main Company","Logistics department","Local currency","TRY","Sales return 102 dated 12.03.2021 08:50:27","Interner","af263f16-367e-4b29-ab41-7bc578d06d4b"
"","12.03.2021 08:50:27","-1","-95","-80,51","-5","Main Company","Logistics department","TRY","TRY","Sales return 102 dated 12.03.2021 08:50:27","Interner","af263f16-367e-4b29-ab41-7bc578d06d4b"
"","12.03.2021 08:50:27","-1","-95","-80,51","-5","Main Company","Logistics department","en description is empty","TRY","Sales return 102 dated 12.03.2021 08:50:27","Interner","af263f16-367e-4b29-ab41-7bc578d06d4b"
"","12.03.2021 08:50:27","-1","-84,57","-71,67","-4,45","Main Company","Logistics department","Reporting currency","USD","Sales return 102 dated 12.03.2021 08:50:27","XS/Blue","c77b27bd-8d19-4d55-b590-bd5ecc463efd"
"","12.03.2021 08:50:27","-1","-16,26","-13,78","-0,86","Main Company","Logistics department","Reporting currency","USD","Sales return 102 dated 12.03.2021 08:50:27","Interner","af263f16-367e-4b29-ab41-7bc578d06d4b"
