"Inventory transfer 21 dated 01.03.2021 09:54:36","","","","","","",""
"Document registrations records","","","","","","",""
"Register  ""R4050 Stock inventory""","","","","","","",""
"","Record type","Period","Resources","Dimensions","","",""
"","","","Quantity","Company","Branch","Store","Item key"
"","Receipt","*","2","Main Company","Logistics department","Store 03","36/Yellow"
"","Receipt","*","10","Main Company","Logistics department","Store 03","S/Yellow"
"","Receipt","*","10","Main Company","Logistics department","Store 03","XS/Blue"
"","Receipt","*","15","Main Company","Logistics department","Store 03","36/Red"
"","Expense","*","2","Main Company","Logistics department","Store 02","36/Yellow"
"","Expense","*","10","Main Company","Logistics department","Store 02","S/Yellow"
"","Expense","*","10","Main Company","Logistics department","Store 02","XS/Blue"
"","Expense","*","15","Main Company","Logistics department","Store 02","36/Red"
