"Ref","DeletionMark","Parent","IsFolder","Settings","SpecialOfferType","Priority","Manually","StartOf","EndOf","Launch","ManualInputValue","Type","DocumentType","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb37","False","","True","","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb36","1","","","","","","","","Special Offers","","","Special Offers"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf114c59ef00a","False","","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf114c59ef009","2","True","03.12.2018 00:00:00","05.12.2018 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","Special Price","","","Special Price TR"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb48","False","","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb33","4","True","01.09.2020 00:00:00","30.09.2020 00:00:00","True","True","Enum.SpecialOfferTypes.ForRow","Enum.OffersDocumentTypes.Sales","Range Discount Basic (Trousers)","","","Range Discount Basic (Trousers)"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb49","False","","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb32","4","True","01.09.2020 00:00:00","30.09.2020 00:00:00","True","True","Enum.SpecialOfferTypes.ForRow","Enum.OffersDocumentTypes.Sales","Range Discount Basic (Dress)","","","Range Discount Basic (Dress)"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb4b","False","","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb4a","5","True","07.09.2020 00:00:00","01.01.0001 00:00:00","True","True","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.PurchasesAndSales","Document discount","","","Document discount TR"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb39","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb37","True","","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb38","3","","","","","","","","Maximum","","","Maximum"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3b","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb37","True","","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb3a","1","","","","","","","","Sum","","","Sum"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3d","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb37","True","","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb3c","2","","","","","","","","Minimum","","","Minimum"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb40","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb39","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb28","1","False","01.09.2020 00:00:00","30.09.2020 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","Special Message Notification","","","Special Message Notification"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb45","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb39","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb2f","4","True","01.09.2020 00:00:00","30.09.2020 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","All items 5+1, Discount on Basic Partner terms","","","All items 5+1, Discount on Basic Partner terms"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb46","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb39","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb30","4","True","01.09.2020 00:00:00","30.09.2020 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","4+1 Dress and Trousers, Discount on Basic Partner terms","","","4+1 Dress and Trousers TR, Discount on Basic Partner terms"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb47","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb39","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb31","4","True","01.09.2020 00:00:00","30.09.2020 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","3+1 Dress and Trousers (not multiplicity), Discount on Basic Partner terms","","","3+1 Dress and Trousers (not multiplicity) TR, Discount on Basic Partner terms"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3f","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3b","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb25","2","True","01.09.2020 00:00:00","30.09.2020 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","Discount Price 2","","","Discount Price 2"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb41","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3b","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb2e","2","False","01.09.2020 00:00:00","30.09.2020 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","Special Message DialogBox","","","Special Message DialogBox"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf1217ba43b42","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3b","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf1217ba43b41","8","False","01.01.2019 00:00:00","01.01.0001 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","DialogBox2","","","DialogBox2"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb44","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3d","True","","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb3a","10","","","","","","","","Sum in Minimum","","","Sum in Minimum"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3e","False","e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3d","False","ValueStorage","e1cib/data/Catalog.SpecialOfferTypes?ref=aa78120ed92fbced11eaf11e6faafb24","1","True","01.09.2020 00:00:00","30.09.2020 00:00:00","True","False","Enum.SpecialOfferTypes.ForDocument","Enum.OffersDocumentTypes.Sales","Discount Price 1","","","Discount Price 1"
