"Ref","Key","BasisDocument","Agreement","Partner","Amount","Payee","PlaningTransactionBasis","Commission","ProfitLossCenter","ExpenseType","AdditionalAnalytic","FinancialMovementType","LegalNameContract"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cb","cf317826-de4a-4632-bb5b-180fbad6f0be","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","400","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b76197e183b782dc11eb7038bb11333e","cf317826-de4a-4632-bb5b-180fbad6f0be","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","2 000","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cc","cf317826-de4a-4632-bb5b-180fbad6f0be","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","500","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","cf317826-de4a-4632-bb5b-180fbad6f0be","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","500","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","c4244fe1-a6c2-490b-bafe-46083b74c26a","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf124a9ba086a","80","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf124a9ba086b","","0","","","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","60df74d2-6f1f-486f-9de4-1c642a99b09d","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf134a6a475a1","200","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf134a6a475a2","","0","","","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","e9d8cece-24bb-41f8-ac07-f5df9b241890","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf124a9ba086a","200","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf124a9ba086b","","0","","","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cd","cf317826-de4a-4632-bb5b-180fbad6f0be","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","400","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cd","0ca2b253-2f49-4203-8c86-f84648334813","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf134a6a475a1","200","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf134a6a475a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ce","cf317826-de4a-4632-bb5b-180fbad6f0be","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","400","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
