"Ref","Key","ItemKey","Store","Unit","Quantity","ShipmentBasis","QuantityInBaseUnit","SalesOrder","SalesInvoice","InventoryTransferOrder","InventoryTransfer","PurchaseReturnOrder","PurchaseReturn"
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb6187c7f2a9de","63008c12-b682-4aff-b29f-e6927036b05a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb61805768328b","1","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb61805768328b","","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb6187c7f2a9de","e34f52ea-1fe2-47b2-9b37-63c093896662","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb61805768328b","10","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb61805768328b","","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb6187c7f2a9df","0cb89084-5857-45fc-b333-4fbec2c2e90a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","5","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb60c82e154a2e","5","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb60c82e154a2e","","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb6187c7f2a9df","3a8fe357-b7bd-4d83-8816-c8348bbf4595","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb60c82e154a2e","10","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb60c82e154a2e","","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb6187c7f2a9df","ff4a59d0-321e-4cf9-8776-8d14a00012f9","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","12","","12","","","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb6187c7f2a9e3","0cb89084-5857-45fc-b333-4fbec2c2e90a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","1","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","1","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb60c82e154a4e","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb6187c7f2a9e3","3a8fe357-b7bd-4d83-8816-c8348bbf4595","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","10","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb60c82e154a4e","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb6187c7f2a9e3","c512ba0d-6170-4b3d-8d40-e1880d93274a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","24","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","24","e1cib/data/Document.SalesOrder?ref=b76197e183b782dc11eb60c82e154a4e","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb703fceb15ba8","99c17fdd-bce3-432c-a527-e81bca2482f8","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","","10","","","","","",""
"e1cib/data/Document.ShipmentConfirmation?ref=b76197e183b782dc11eb703fceb15ba8","1b13d64e-23fb-4438-8202-65ca46621061","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","15","","15","","","","","",""
