"Row presentation","Use","Quantity","Unit","Price","Currency"
"Sales order 31 dated 27.01.2021 19:50:45","No","","","",""
"Boots (37/18SD)","No","2,000","Boots (12 pcs)","8 400,00","TRY"
"Purchase order 1 051 dated 20.07.2021 10:22:16","No","","","",""
"Dress (S/Yellow)","No","55,000","pcs","550,00","TRY"
"Dress (XS/Blue)","No","250,000","pcs","520,00","TRY"
"Goods receipt 1 051 dated 20.07.2021 10:23:22","No","","","",""
"Dress (S/Yellow)","No","45,000","pcs","550,00","TRY"
"Dress (XS/Blue)","No","750,000","pcs","520,00","TRY"
"Goods receipt 1 052 dated 20.07.2021 10:23:55","No","","","",""
"Dress (S/Yellow)","No","5,000","pcs","",""
"Dress (XS/Blue)","No","50,000","pcs","",""
"Trousers (36/Yellow)","No","40,000","pcs","",""
