"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cb","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,6275","0,1777","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 251"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cb","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","400"
"e1cib/data/Document.BankPayment?ref=b76197e183b782dc11eb7038bb11333e","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 000"
"e1cib/data/Document.BankPayment?ref=b76197e183b782dc11eb7038bb11333e","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","342,4"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cc","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","500"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cc","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","85,6"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","500"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","85,6"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","c4244fe1-a6c2-490b-bafe-46083b74c26a","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","80"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","c4244fe1-a6c2-490b-bafe-46083b74c26a","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","13,7"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","60df74d2-6f1f-486f-9de4-1c642a99b09d","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","200"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","60df74d2-6f1f-486f-9de4-1c642a99b09d","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","34,24"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","e9d8cece-24bb-41f8-ac07-f5df9b241890","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","200"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ca","e9d8cece-24bb-41f8-ac07-f5df9b241890","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","34,24"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cd","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,6275","0,1777","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 251"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cd","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","400"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cd","0ca2b253-2f49-4203-8c86-f84648334813","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,6275","0,1777","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 125,5"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cd","0ca2b253-2f49-4203-8c86-f84648334813","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","200"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ce","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,6275","0,1777","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 251"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ce","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","400"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ce","05314549-a48c-4881-acbd-0896f2751e82","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,6275","0,1777","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","56,28"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ce","05314549-a48c-4881-acbd-0896f2751e82","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","10"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 000"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","cf317826-de4a-4632-bb5b-180fbad6f0be","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","342,4"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","70cf4ffb-c9fe-438a-80b1-11e35cbb2d69","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","900"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","70cf4ffb-c9fe-438a-80b1-11e35cbb2d69","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","154,08"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","712396d9-dca0-4b3f-8eb8-896f7cd91b64","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","300"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","712396d9-dca0-4b3f-8eb8-896f7cd91b64","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","51,36"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","62db4ade-6302-4098-9068-31c40da5f9dd","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","200"
