"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede0","ceec8be5-9c7a-43a5-8813-c72223a6e616","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","170"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede0","ceec8be5-9c7a-43a5-8813-c72223a6e616","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","170"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede0","ceec8be5-9c7a-43a5-8813-c72223a6e616","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","29,1"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede5","f4ae2ae1-d934-4d77-bdf2-c37a2a3674a9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c1861","170"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede5","f4ae2ae1-d934-4d77-bdf2-c37a2a3674a9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,6275","0,1777","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","956,68"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede5","f4ae2ae1-d934-4d77-bdf2-c37a2a3674a9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","170"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede8","ea1220e7-23b3-4ce4-b455-a66f6d10118a","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","110"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede8","ea1220e7-23b3-4ce4-b455-a66f6d10118a","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","110"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede8","ea1220e7-23b3-4ce4-b455-a66f6d10118a","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","18,83"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bedeb","67dbc496-6cc8-4dd0-81e3-ed49788acbbc","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","190"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bedeb","67dbc496-6cc8-4dd0-81e3-ed49788acbbc","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","190"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bedeb","67dbc496-6cc8-4dd0-81e3-ed49788acbbc","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","32,53"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eede","7e924936-241a-496e-b6c8-809300337956","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","200"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eede","7e924936-241a-496e-b6c8-809300337956","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","200"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eede","7e924936-241a-496e-b6c8-809300337956","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","34,24"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee2","0e2fc3db-c16a-47db-9d6b-e96fb412e4b9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","100"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee2","0e2fc3db-c16a-47db-9d6b-e96fb412e4b9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","100"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee2","0e2fc3db-c16a-47db-9d6b-e96fb412e4b9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","17,12"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee4","c043db60-5663-42bc-a2b5-c99c2e38b0b5","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","190"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee4","c043db60-5663-42bc-a2b5-c99c2e38b0b5","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","190"
