"Ref","TotalAmount","NetAmount","ItemKey","Store","OffersAmount","Price","Quantity","TaxAmount","Key","Unit","PriceType","SalesOrder","DeliveryDate","Detail","ProfitLossCenter","RevenueType","AdditionalAnalytic","DontCalculateRow","QuantityInBaseUnit","UseShipmentConfirmation"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","700","586,29","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","0","350","2","113,71","72d99733-14eb-4cc2-b463-1782405cd408","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","2","True"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","16 800","14 070,95","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","0","8 400","2","2 729,05","60f79f2b-f0c4-42d9-8175-bc4b346e419d","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf115bcc9c60b","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","24","False"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","1 400","1 172,58","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","0","700","2","227,42","c6605104-b141-4358-ab1d-9355d75d21c6","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","2","True"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","2 080","1 742,12","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","0","520","4","337,88","9ea0981e-11cc-4dd3-a57c-a226b4a7e405","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","4","True"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ecd","700","586,29","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","0","700","1","113,71","df9f9f75-394a-4d52-9ec6-c890cce2e346","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","1","True"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ecd","1 040","871,06","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","0","520","2","168,94","7e833a76-c1c1-4a95-9768-cd74d034d70f","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","2","True"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ed2","4 195,27","3 525,44","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","0","440,68","8","669,83","f6946f67-2ef5-487e-b54d-cdcb32755977","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef002","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","8","True"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ed2","18 511,17","15 555,6","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","0","7 777,8","2","2 955,57","aa6ea43b-bdd9-45c0-84a1-8df13c476908","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf115bcc9c60b","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef002","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","24","True"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ed2","1 542,59","1 296,3","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","0","648,15","2","246,29","f23ae524-2a37-4835-bb34-82f601209cc6","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef002","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","2","True"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ed2","4 437,27","3 728,8","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","0","466,1","8","708,47","e27a0375-c799-41d1-b235-ffc0a3cee19c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef002","","01.01.0001 00:00:00","","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False","8","True"
