"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05b","e1f6c356-491f-4688-bc6a-25b0488e38fb","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","3 000"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05b","e1f6c356-491f-4688-bc6a-25b0488e38fb","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","513,6"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05b","0215ac85-3961-4f64-b308-3190eb9bbdcf","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","800"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05b","0215ac85-3961-4f64-b308-3190eb9bbdcf","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","136,96"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05b","a67ade78-8752-4a7c-8b2e-1fb5879968ce","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","100"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05b","a67ade78-8752-4a7c-8b2e-1fb5879968ce","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","100"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05b","a67ade78-8752-4a7c-8b2e-1fb5879968ce","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","17,12"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05a","75c431c0-4ccc-412f-bcb2-fe18d07ac316","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","2 500"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05a","75c431c0-4ccc-412f-bcb2-fe18d07ac316","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 500"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05a","75c431c0-4ccc-412f-bcb2-fe18d07ac316","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","428"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05c","e1f6c356-491f-4688-bc6a-25b0488e38fb","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","3 000"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05c","e1f6c356-491f-4688-bc6a-25b0488e38fb","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","513,6"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05c","0215ac85-3961-4f64-b308-3190eb9bbdcf","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","800"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05c","0215ac85-3961-4f64-b308-3190eb9bbdcf","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","136,96"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05c","bf006b7a-fec2-43d6-a984-bea96aaea78c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","100"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05c","bf006b7a-fec2-43d6-a984-bea96aaea78c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","17,12"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05d","75c431c0-4ccc-412f-bcb2-fe18d07ac316","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","2 500"
"e1cib/data/Document.CashPayment?ref=b763cea576e730ff11eba8d60e54e05d","75c431c0-4ccc-412f-bcb2-fe18d07ac316","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 500"
