"Purchase invoice 115 dated 12.02.2021 15:13:56","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","",""
"Register  ""R1001 Purchases""","","","","","","","","","","","","",""
"","Period","Resources","","","","Dimensions","","","","","","","Attributes"
"","","Quantity","Amount","Net amount","Offers amount","Company","Branch","Multi currency movement type","Currency","Invoice","Item key","Row key","Deferred calculation"
"","12.02.2021 15:13:56","2","51,36","43,53","","Main Company","Front office","Reporting currency","USD","Purchase invoice 115 dated 12.02.2021 15:13:56","Interner","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","No"
"","12.02.2021 15:13:56","2","300","254,24","","Main Company","Front office","Local currency","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","Interner","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","No"
"","12.02.2021 15:13:56","2","300","254,24","","Main Company","Front office","TRY","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","Interner","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","No"
"","12.02.2021 15:13:56","2","300","254,24","","Main Company","Front office","en description is empty","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","Interner","9db770ce-c5f9-4f4c-a8a9-7adc10793d77","No"
"","12.02.2021 15:13:56","5","171,2","145,09","","Main Company","Front office","Reporting currency","USD","Purchase invoice 115 dated 12.02.2021 15:13:56","36/Yellow","18d36228-af88-4ba5-a17a-f3ab3ddb6816","No"
"","12.02.2021 15:13:56","5","1 000","847,46","","Main Company","Front office","Local currency","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","36/Yellow","18d36228-af88-4ba5-a17a-f3ab3ddb6816","No"
"","12.02.2021 15:13:56","5","1 000","847,46","","Main Company","Front office","TRY","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","36/Yellow","18d36228-af88-4ba5-a17a-f3ab3ddb6816","No"
"","12.02.2021 15:13:56","5","1 000","847,46","","Main Company","Front office","en description is empty","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","36/Yellow","18d36228-af88-4ba5-a17a-f3ab3ddb6816","No"
"","12.02.2021 15:13:56","10","171,2","145,09","","Main Company","Front office","Reporting currency","USD","Purchase invoice 115 dated 12.02.2021 15:13:56","S/Yellow","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","No"
"","12.02.2021 15:13:56","10","1 000","847,46","","Main Company","Front office","Local currency","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","S/Yellow","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","No"
"","12.02.2021 15:13:56","10","1 000","847,46","","Main Company","Front office","TRY","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","S/Yellow","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","No"
"","12.02.2021 15:13:56","10","1 000","847,46","","Main Company","Front office","en description is empty","TRY","Purchase invoice 115 dated 12.02.2021 15:13:56","S/Yellow","3e2661d8-cf3b-4695-8cf7-a14ecc9f32ce","No"
