
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:1408         127.0.0.1:54857        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57945        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57947        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57951        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57953        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58116        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58119        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58123        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58125        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58206        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58209        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58216        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58220        ESTABLISHED     2684
  TCP    127.0.0.1:53376        127.0.0.1:53377        ESTABLISHED     10576
  TCP    127.0.0.1:53377        127.0.0.1:53376        ESTABLISHED     10576
  TCP    127.0.0.1:53378        127.0.0.1:53379        ESTABLISHED     9760
  TCP    127.0.0.1:53379        127.0.0.1:53378        ESTABLISHED     9760
  TCP    127.0.0.1:53380        127.0.0.1:53381        ESTABLISHED     14592
  TCP    127.0.0.1:53381        127.0.0.1:53380        ESTABLISHED     14592
  TCP    127.0.0.1:53384        127.0.0.1:53385        ESTABLISHED     16544
  TCP    127.0.0.1:53385        127.0.0.1:53384        ESTABLISHED     16544
  TCP    127.0.0.1:53393        127.0.0.1:53394        ESTABLISHED     17276
  TCP    127.0.0.1:53394        127.0.0.1:53393        ESTABLISHED     17276
  TCP    127.0.0.1:53408        127.0.0.1:53409        ESTABLISHED     13220
  TCP    127.0.0.1:53409        127.0.0.1:53408        ESTABLISHED     13220
  TCP    127.0.0.1:53702        127.0.0.1:53703        ESTABLISHED     6224
  TCP    127.0.0.1:53703        127.0.0.1:53702        ESTABLISHED     6224
  TCP    127.0.0.1:53919        127.0.0.1:53920        ESTABLISHED     3108
  TCP    127.0.0.1:53920        127.0.0.1:53919        ESTABLISHED     3108
  TCP    127.0.0.1:53921        127.0.0.1:53922        ESTABLISHED     4084
  TCP    127.0.0.1:53922        127.0.0.1:53921        ESTABLISHED     4084
  TCP    127.0.0.1:53923        127.0.0.1:53924        ESTABLISHED     10820
  TCP    127.0.0.1:53924        127.0.0.1:53923        ESTABLISHED     10820
  TCP    127.0.0.1:53929        127.0.0.1:53930        ESTABLISHED     7604
  TCP    127.0.0.1:53930        127.0.0.1:53929        ESTABLISHED     7604
  TCP    127.0.0.1:53931        127.0.0.1:53932        ESTABLISHED     8276
  TCP    127.0.0.1:53932        127.0.0.1:53931        ESTABLISHED     8276
  TCP    127.0.0.1:53937        127.0.0.1:53938        ESTABLISHED     17916
  TCP    127.0.0.1:53938        127.0.0.1:53937        ESTABLISHED     17916
  TCP    127.0.0.1:53966        127.0.0.1:53967        ESTABLISHED     6084
  TCP    127.0.0.1:53967        127.0.0.1:53966        ESTABLISHED     6084
  TCP    127.0.0.1:54849        127.0.0.1:54850        ESTABLISHED     17472
  TCP    127.0.0.1:54850        127.0.0.1:54849        ESTABLISHED     17472
  TCP    127.0.0.1:54851        127.0.0.1:54852        ESTABLISHED     17472
  TCP    127.0.0.1:54852        127.0.0.1:54851        ESTABLISHED     17472
  TCP    127.0.0.1:54853        127.0.0.1:54854        ESTABLISHED     17472
  TCP    127.0.0.1:54854        127.0.0.1:54853        ESTABLISHED     17472
  TCP    127.0.0.1:54855        127.0.0.1:54856        ESTABLISHED     17472
  TCP    127.0.0.1:54856        127.0.0.1:54855        ESTABLISHED     17472
  TCP    127.0.0.1:54857        127.0.0.1:1408         ESTABLISHED     17472
  TCP    127.0.0.1:54858        127.0.0.1:54859        ESTABLISHED     2684
  TCP    127.0.0.1:54859        127.0.0.1:54858        ESTABLISHED     2684
  TCP    127.0.0.1:57945        127.0.0.1:1408         ESTABLISHED     704
  TCP    127.0.0.1:57947        127.0.0.1:1408         ESTABLISHED     704
  TCP    127.0.0.1:57951        127.0.0.1:1408         ESTABLISHED     704
  TCP    127.0.0.1:57953        127.0.0.1:1408         ESTABLISHED     704
  TCP    127.0.0.1:58083        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58086        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58090        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58093        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58116        127.0.0.1:1408         ESTABLISHED     15704
  TCP    127.0.0.1:58119        127.0.0.1:1408         ESTABLISHED     15704
  TCP    127.0.0.1:58123        127.0.0.1:1408         ESTABLISHED     15704
  TCP    127.0.0.1:58125        127.0.0.1:1408         ESTABLISHED     15704
  TCP    127.0.0.1:58154        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58157        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58161        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58163        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58170        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58181        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58184        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58188        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58190        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58205        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58206        127.0.0.1:1408         ESTABLISHED     15168
  TCP    127.0.0.1:58209        127.0.0.1:1408         ESTABLISHED     15168
  TCP    127.0.0.1:58216        127.0.0.1:1408         ESTABLISHED     15168
  TCP    127.0.0.1:58218        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58220        127.0.0.1:1408         ESTABLISHED     15168
  TCP    127.0.0.1:58222        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58226        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58228        127.0.0.1:1408         TIME_WAIT       0
  TCP    127.0.0.1:58230        127.0.0.1:49210        SYN_SENT        14844
  TCP    192.168.12.3:3389      62.16.15.144:65424     ESTABLISHED     96
  TCP    192.168.12.3:3389      88.214.10.191:61391    ESTABLISHED     96
  TCP    192.168.12.3:3389      193.142.146.216:59281  ESTABLISHED     96
  TCP    192.168.12.3:49674     20.199.120.85:443      ESTABLISHED     1212
  TCP    192.168.12.3:49692     20.199.120.85:443      ESTABLISHED     6072
  TCP    192.168.12.3:49706     20.199.120.85:443      ESTABLISHED     9196
  TCP    192.168.12.3:53400     54.245.175.237:443     ESTABLISHED     10576
  TCP    192.168.12.3:53531     20.54.37.73:443        ESTABLISHED     11024
  TCP    192.168.12.3:53948     34.216.162.26:443      ESTABLISHED     3108
  TCP    192.168.12.3:54328     135.181.7.49:443       ESTABLISHED     3108
  TCP    192.168.12.3:54633     20.199.120.85:443      ESTABLISHED     4664
  TCP    192.168.12.3:55531     135.181.7.49:443       ESTABLISHED     10576
  TCP    192.168.12.3:56350     135.181.7.49:443       ESTABLISHED     7532
  TCP    192.168.12.3:56464     135.181.7.49:443       ESTABLISHED     692
  TCP    192.168.12.3:57691     135.181.7.49:443       CLOSE_WAIT      7532
  TCP    192.168.12.3:57693     135.181.7.49:443       CLOSE_WAIT      692
  TCP    192.168.12.3:58050     135.181.7.49:443       ESTABLISHED     9996
  TCP    192.168.12.3:58109     34.117.237.239:443     TIME_WAIT       0
  TCP    192.168.12.3:58143     135.181.7.49:443       ESTABLISHED     9996
  TCP    192.168.12.3:58165     135.181.7.49:443       CLOSE_WAIT      9996
  TCP    192.168.12.3:58166     216.58.211.14:443      TIME_WAIT       0
  TCP    192.168.12.3:58171     142.250.74.78:443      TIME_WAIT       0
  TCP    192.168.12.3:58172     135.181.7.49:443       CLOSE_WAIT      9996
  TCP    192.168.12.3:65468     20.199.120.85:443      ESTABLISHED     7444
  TCP    [::1]:3389             [::1]:53994            ESTABLISHED     96
  TCP    [::1]:48001            [::1]:57969            ESTABLISHED     18396
  TCP    [::1]:49182            [::1]:57954            ESTABLISHED     704
  TCP    [::1]:49190            [::1]:58118            ESTABLISHED     15704
  TCP    [::1]:49200            [::1]:58208            ESTABLISHED     15168
  TCP    [::1]:49201            [::1]:58183            TIME_WAIT       0
  TCP    [::1]:49211            [::1]:58221            TIME_WAIT       0
  TCP    [::1]:53994            [::1]:3389             ESTABLISHED     3752
  TCP    [::1]:57954            [::1]:49182            ESTABLISHED     17080
  TCP    [::1]:57969            [::1]:48001            ESTABLISHED     10536
  TCP    [::1]:58085            [::1]:49172            TIME_WAIT       0
  TCP    [::1]:58118            [::1]:49190            ESTABLISHED     7240
  TCP    [::1]:58164            [::1]:49151            TIME_WAIT       0
  TCP    [::1]:58177            [::1]:49201            TIME_WAIT       0
  TCP    [::1]:58197            [::1]:49200            TIME_WAIT       0
  TCP    [::1]:58198            [::1]:49211            TIME_WAIT       0
  TCP    [::1]:58208            [::1]:49200            ESTABLISHED     7152
