"Purchase order closing 1 dated 07.10.2021 13:58:42","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","",""
"Register  ""R1010 Purchase orders""","","","","","","","","","","","",""
"","Period","Resources","","","Dimensions","","","","","","","Attributes"
"","","Quantity","Amount","Net amount","Company","Branch","Multi currency movement type","Currency","Order","Item key","Row key","Deferred calculation"
"","07.10.2021 13:58:42","-64","-7 680","-6 508,47","Main Company","Front office","Local currency","TRY","Purchase order 37 dated 09.03.2021 14:29:00","XS/Blue","0e65d648-bd28-47a2-84dc-e260219c1395","No"
"","07.10.2021 13:58:42","-64","-7 680","-6 508,47","Main Company","Front office","TRY","TRY","Purchase order 37 dated 09.03.2021 14:29:00","XS/Blue","0e65d648-bd28-47a2-84dc-e260219c1395","No"
"","07.10.2021 13:58:42","-64","-7 680","-6 508,47","Main Company","Front office","en description is empty","TRY","Purchase order 37 dated 09.03.2021 14:29:00","XS/Blue","0e65d648-bd28-47a2-84dc-e260219c1395","No"
"","07.10.2021 13:58:42","-64","-1 314,82","-1 114,25","Main Company","Front office","Reporting currency","USD","Purchase order 37 dated 09.03.2021 14:29:00","XS/Blue","0e65d648-bd28-47a2-84dc-e260219c1395","No"
"","07.10.2021 13:58:42","-1","-100","-84,75","Main Company","Front office","Local currency","TRY","Purchase order 37 dated 09.03.2021 14:29:00","Rent","da5e404f-fed0-41c5-81dc-b8eadd89e699","No"
"","07.10.2021 13:58:42","-1","-100","-84,75","Main Company","Front office","TRY","TRY","Purchase order 37 dated 09.03.2021 14:29:00","Rent","da5e404f-fed0-41c5-81dc-b8eadd89e699","No"
"","07.10.2021 13:58:42","-1","-100","-84,75","Main Company","Front office","en description is empty","TRY","Purchase order 37 dated 09.03.2021 14:29:00","Rent","da5e404f-fed0-41c5-81dc-b8eadd89e699","No"
"","07.10.2021 13:58:42","-1","-17,12","-14,51","Main Company","Front office","Reporting currency","USD","Purchase order 37 dated 09.03.2021 14:29:00","Rent","da5e404f-fed0-41c5-81dc-b8eadd89e699","No"
"","07.10.2021 13:58:42","1","25,68","21,76","Main Company","Front office","Reporting currency","USD","Purchase order 37 dated 09.03.2021 14:29:00","38/Black","b5d168e5-e60d-44c9-9168-b13a2695077f","No"
"","07.10.2021 13:58:42","1","150","127,12","Main Company","Front office","Local currency","TRY","Purchase order 37 dated 09.03.2021 14:29:00","38/Black","b5d168e5-e60d-44c9-9168-b13a2695077f","No"
"","07.10.2021 13:58:42","1","150","127,12","Main Company","Front office","TRY","TRY","Purchase order 37 dated 09.03.2021 14:29:00","38/Black","b5d168e5-e60d-44c9-9168-b13a2695077f","No"
"","07.10.2021 13:58:42","1","150","127,12","Main Company","Front office","en description is empty","TRY","Purchase order 37 dated 09.03.2021 14:29:00","38/Black","b5d168e5-e60d-44c9-9168-b13a2695077f","No"
