
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:1408         127.0.0.1:54857        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58309        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58312        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58316        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58318        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58343        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58346        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58351        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58353        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58394        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58397        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58401        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58403        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58486        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58489        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58493        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:58495        ESTABLISHED     2684
  TCP    127.0.0.1:53376        127.0.0.1:53377        ESTABLISHED     10576
  TCP    127.0.0.1:53377        127.0.0.1:53376        ESTABLISHED     10576
  TCP    127.0.0.1:53378        127.0.0.1:53379        ESTABLISHED     9760
  TCP    127.0.0.1:53379        127.0.0.1:53378        ESTABLISHED     9760
  TCP    127.0.0.1:53380        127.0.0.1:53381        ESTABLISHED     14592
  TCP    127.0.0.1:53381        127.0.0.1:53380        ESTABLISHED     14592
  TCP    127.0.0.1:53384        127.0.0.1:53385        ESTABLISHED     16544
  TCP    127.0.0.1:53385        127.0.0.1:53384        ESTABLISHED     16544
  TCP    127.0.0.1:53393        127.0.0.1:53394        ESTABLISHED     17276
  TCP    127.0.0.1:53394        127.0.0.1:53393        ESTABLISHED     17276
  TCP    127.0.0.1:53408        127.0.0.1:53409        ESTABLISHED     13220
  TCP    127.0.0.1:53409        127.0.0.1:53408        ESTABLISHED     13220
  TCP    127.0.0.1:53702        127.0.0.1:53703        ESTABLISHED     6224
  TCP    127.0.0.1:53703        127.0.0.1:53702        ESTABLISHED     6224
  TCP    127.0.0.1:53919        127.0.0.1:53920        ESTABLISHED     3108
  TCP    127.0.0.1:53920        127.0.0.1:53919        ESTABLISHED     3108
  TCP    127.0.0.1:53921        127.0.0.1:53922        ESTABLISHED     4084
  TCP    127.0.0.1:53922        127.0.0.1:53921        ESTABLISHED     4084
  TCP    127.0.0.1:53923        127.0.0.1:53924        ESTABLISHED     10820
  TCP    127.0.0.1:53924        127.0.0.1:53923        ESTABLISHED     10820
  TCP    127.0.0.1:53929        127.0.0.1:53930        ESTABLISHED     7604
  TCP    127.0.0.1:53930        127.0.0.1:53929        ESTABLISHED     7604
  TCP    127.0.0.1:53931        127.0.0.1:53932        ESTABLISHED     8276
  TCP    127.0.0.1:53932        127.0.0.1:53931        ESTABLISHED     8276
  TCP    127.0.0.1:53937        127.0.0.1:53938        ESTABLISHED     17916
  TCP    127.0.0.1:53938        127.0.0.1:53937        ESTABLISHED     17916
  TCP    127.0.0.1:53966        127.0.0.1:53967        ESTABLISHED     6084
  TCP    127.0.0.1:53967        127.0.0.1:53966        ESTABLISHED     6084
  TCP    127.0.0.1:54849        127.0.0.1:54850        ESTABLISHED     17472
  TCP    127.0.0.1:54850        127.0.0.1:54849        ESTABLISHED     17472
  TCP    127.0.0.1:54851        127.0.0.1:54852        ESTABLISHED     17472
  TCP    127.0.0.1:54852        127.0.0.1:54851        ESTABLISHED     17472
  TCP    127.0.0.1:54853        127.0.0.1:54854        ESTABLISHED     17472
  TCP    127.0.0.1:54854        127.0.0.1:54853        ESTABLISHED     17472
  TCP    127.0.0.1:54855        127.0.0.1:54856        ESTABLISHED     17472
  TCP    127.0.0.1:54856        127.0.0.1:54855        ESTABLISHED     17472
  TCP    127.0.0.1:54857        127.0.0.1:1408         ESTABLISHED     17472
  TCP    127.0.0.1:54858        127.0.0.1:54859        ESTABLISHED     2684
  TCP    127.0.0.1:54859        127.0.0.1:54858        ESTABLISHED     2684
  TCP    127.0.0.1:58309        127.0.0.1:1408         ESTABLISHED     14768
  TCP    127.0.0.1:58312        127.0.0.1:1408         ESTABLISHED     14768
  TCP    127.0.0.1:58316        127.0.0.1:1408         ESTABLISHED     14768
  TCP    127.0.0.1:58318        127.0.0.1:1408         ESTABLISHED     14768
  TCP    127.0.0.1:58343        127.0.0.1:1408         ESTABLISHED     3344
  TCP    127.0.0.1:58346        127.0.0.1:1408         ESTABLISHED     3344
  TCP    127.0.0.1:58351        127.0.0.1:1408         ESTABLISHED     3344
  TCP    127.0.0.1:58353        127.0.0.1:1408         ESTABLISHED     3344
  TCP    127.0.0.1:58394        127.0.0.1:1408         ESTABLISHED     16580
  TCP    127.0.0.1:58397        127.0.0.1:1408         ESTABLISHED     16580
  TCP    127.0.0.1:58401        127.0.0.1:1408         ESTABLISHED     16580
  TCP    127.0.0.1:58403        127.0.0.1:1408         ESTABLISHED     16580
