"Ref","DeletionMark","Code","Description","Agreement","Company","Currency","LegalName","Partner","PriceIncludeTax","Store","Unit","ItemKey","Branch","Basis","RowID","ProcurementMethod","StoreSender","StoreReceiver","TransactionTypeSC","TransactionTypeGR","TransactionType","Requester"
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec24f287c942f9","False","49","b68314e4-1ca0-4d45-ade7-621a46d7f72a","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","","e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","b68314e4-1ca0-4d45-ade7-621a46d7f72a","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","Enum.GoodsReceiptTransactionTypes.Purchase","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec24f287c942fa","False","50","ce7276e5-98a6-42ac-9a49-7988dd986215","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","","e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","ce7276e5-98a6-42ac-9a49-7988dd986215","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","Enum.GoodsReceiptTransactionTypes.Purchase","",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec25d93b8ee34b","False","93","a3ca306a-fd65-4559-9239-86e7a9e227af","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","","e1cib/data/Document.PurchaseReturnOrder?ref=b76fba77ffd4077e11ec24f287c94300","a3ca306a-fd65-4559-9239-86e7a9e227af","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","","",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec25d93b8ee34c","False","94","a3aa7fb9-30ad-4fe4-9086-f68f60362e28","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c601","","e1cib/data/Document.PurchaseReturn?ref=b76fba77ffd4077e11ec24f287c94302","a3aa7fb9-30ad-4fe4-9086-f68f60362e28","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","","",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec24f287c94306","False","57","dcefa40d-3c97-4a26-b243-64d637f204c3","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf115bcc9c60b","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","","e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","dcefa40d-3c97-4a26-b243-64d637f204c3","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","Enum.GoodsReceiptTransactionTypes.Purchase","Enum.GoodsReceiptTransactionTypes.Purchase",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec24f287c942f8","False","48","a6a2f994-5e03-4485-a1c6-b29cc116795a","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","","e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c942fc","a6a2f994-5e03-4485-a1c6-b29cc116795a","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","Enum.GoodsReceiptTransactionTypes.Purchase","Enum.GoodsReceiptTransactionTypes.Purchase",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec24f287c94305","False","56","8ec163ec-7832-48b1-8621-67774a216239","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","","e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","8ec163ec-7832-48b1-8621-67774a216239","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","Enum.GoodsReceiptTransactionTypes.Purchase","Enum.GoodsReceiptTransactionTypes.Purchase",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec25d93b8ee349","False","91","2f650d8d-3d87-4cdf-94eb-c8f7b1247f72","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","","e1cib/data/Document.PurchaseInvoice?ref=b76fba77ffd4077e11ec24f287c942fe","2f650d8d-3d87-4cdf-94eb-c8f7b1247f72","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","Enum.GoodsReceiptTransactionTypes.Purchase","",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec25d93b8ee34a","False","92","716e8cf5-7772-4030-92c1-78c09a0ad42c","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","","e1cib/data/Document.PurchaseInvoice?ref=b76fba77ffd4077e11ec24f287c942fe","716e8cf5-7772-4030-92c1-78c09a0ad42c","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","Enum.GoodsReceiptTransactionTypes.Purchase","",""
"e1cib/data/Catalog.RowIDs?ref=b76fba77ffd4077e11ec24f287c94307","False","58","6a6c1b3d-6070-4487-a2c2-bac14a890223","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb77","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","True","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","","e1cib/data/Document.PurchaseOrder?ref=b76fba77ffd4077e11ec24f287c94308","6a6c1b3d-6070-4487-a2c2-bac14a890223","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","Enum.GoodsReceiptTransactionTypes.Purchase","",""
