"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda2","58ac9b55-217f-4481-80df-fc1d8f73c483","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","9","0,1111","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","4 500"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda2","58ac9b55-217f-4481-80df-fc1d8f73c483","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","550"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda2","0dae3aa2-4487-4fc9-9a05-e31e4bef166c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","9","0,1111","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","4 500"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda2","0dae3aa2-4487-4fc9-9a05-e31e4bef166c","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","550"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda3","5681a9ca-7348-4a0f-a018-1b2385a80d33","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 000"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda3","5681a9ca-7348-4a0f-a018-1b2385a80d33","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","171,2"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda3","0fa7ca3e-0bd7-44e7-8e62-cef26376517d","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","9","0,1111","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 620"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda3","0fa7ca3e-0bd7-44e7-8e62-cef26376517d","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","198"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda4","c307d2ab-811f-4543-bee2-d11381f37ec4","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 000"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda4","c307d2ab-811f-4543-bee2-d11381f37ec4","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","171,2"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda4","128ad30b-0aaf-40a8-9b41-bad0e634ab99","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","9,1","0,1099","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 638"
"e1cib/data/Document.CashTransferOrder?ref=b762b13668d0905011eb95eeaf1feda4","128ad30b-0aaf-40a8-9b41-bad0e634ab99","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,09","0,9174","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","196,2"
