"Row presentation","Use","Quantity","Unit","Price","Currency"
"Sales order 15 dated 01.02.2021 19:50:45","Yes","","","",""
"Dress (XS/Blue)","Yes","1,000","pcs","520,00","TRY"
"Shirt (36/Red)","Yes","10,000","pcs","350,00","TRY"
"Dress (XS/Blue)","Yes","2,000","pcs","500,00","TRY"
"Dress (XS/Blue)","Yes","10,000","pcs","520,00","TRY"
"Sales order 16*","Yes","","","",""
"Dress (XS/Blue)","Yes","1,000","pcs","520,00","TRY"
"Shirt (36/Red)","Yes","10,000","pcs","350,00","TRY"
"Dress (XS/Blue)","Yes","2,000","pcs","500,00","TRY"
"Dress (XS/Blue)","Yes","10,000","pcs","520,00","TRY"
