"Ref","Key","Tax","Analytics","TaxRate","Amount","IncludeToTotalAmount","ManualAmount"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","72d99733-14eb-4cc2-b463-1782405cd408","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c5","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef013","6,93","True","6,93"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","72d99733-14eb-4cc2-b463-1782405cd408","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","106,78","True","106,78"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","c6605104-b141-4358-ab1d-9355d75d21c6","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c5","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef013","13,86","True","13,86"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","c6605104-b141-4358-ab1d-9355d75d21c6","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","213,56","True","213,56"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","60f79f2b-f0c4-42d9-8175-bc4b346e419d","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c5","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef013","166,34","True","166,34"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","60f79f2b-f0c4-42d9-8175-bc4b346e419d","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","2 562,71","True","2 562,71"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","9ea0981e-11cc-4dd3-a57c-a226b4a7e405","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c5","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef013","20,59","True","20,59"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520eca","9ea0981e-11cc-4dd3-a57c-a226b4a7e405","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","317,29","True","317,29"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ecd","7e833a76-c1c1-4a95-9768-cd74d034d70f","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c5","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef013","10,3","True","10,3"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ecd","7e833a76-c1c1-4a95-9768-cd74d034d70f","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","158,64","True","158,64"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ecd","df9f9f75-394a-4d52-9ec6-c890cce2e346","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c5","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef013","6,93","True","6,93"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ecd","df9f9f75-394a-4d52-9ec6-c890cce2e346","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","106,78","True","106,78"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ed2","f6946f67-2ef5-487e-b54d-cdcb32755977","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c5","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef013","35,25","True","35,25"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ed2","f6946f67-2ef5-487e-b54d-cdcb32755977","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","634,58","True","634,58"
"e1cib/data/Document.SalesInvoice?ref=b762b13668d0905011eb7da175520ed2","e27a0375-c799-41d1-b235-ffc0a3cee19c","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c5","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef013","37,29","True","37,29"
