"Key","Basis","Row ID","Next step","Q","Basis key","Current step","Row ref"
"*","Purchase order 1 dated 07.10.2021 16:05:14","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","GR","4,000","db9f1dc9-0527-48e7-b04c-504c30020d5e","PI&GR","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0"
"*","Purchase order 1 dated 07.10.2021 16:05:14","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","","8,000","39fe1586-a136-4d63-927e-ea9e34b268e5","PI&GR","653068c5-a3a6-4d27-9e5e-1fc8102f7d91"
"*","Purchase order 1 dated 07.10.2021 16:05:14","3cddf099-4bbf-4c9c-807a-bb2388f83e42","GR","3,000","ff64f950-8cd3-4c85-a784-b95544578048","PI&GR","3cddf099-4bbf-4c9c-807a-bb2388f83e42"
"*","Purchase order 1 dated 07.10.2021 16:05:14","647c0486-7e3c-49c1-aca2-7ffcc3246b18","","11,000","752e40d6-652b-4322-a02c-e34e2949dd8f","PI&GR","647c0486-7e3c-49c1-aca2-7ffcc3246b18"
"*","Purchase order 1 dated 07.10.2021 16:05:14","4a003d08-12af-4c34-98d5-5cdeb84616de","GR","15,000","6bdfd6f1-fd21-41e4-bd49-805bb59e2b46","PI&GR","4a003d08-12af-4c34-98d5-5cdeb84616de"
"*","Purchase order 1 dated 07.10.2021 16:05:14","323ed282-6c37-4443-b3b5-6abd5531e1b7","GR","10,000","d0d4cb97-d21f-4e13-8b46-ae052ddc041e","PI&GR","323ed282-6c37-4443-b3b5-6abd5531e1b7"
"*","Purchase order 1 dated 07.10.2021 16:05:14","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","GR","5,000","dc54ca99-348a-4550-b2e3-7c71a21bb46e","PI&GR","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf"
"*","Purchase order 1 dated 07.10.2021 16:05:14","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","GR","40,000","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","PI&GR","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a"
"*","Purchase order 1 dated 07.10.2021 16:05:14","647c0486-7e3c-49c1-aca2-7ffcc3246b18","SI&SC","11,000","752e40d6-652b-4322-a02c-e34e2949dd8f","","647c0486-7e3c-49c1-aca2-7ffcc3246b18"
"*","Purchase order 1 dated 07.10.2021 16:05:14","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","SI&SC","8,000","39fe1586-a136-4d63-927e-ea9e34b268e5","","653068c5-a3a6-4d27-9e5e-1fc8102f7d91"
