"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76ac729f215fa6f11ebc2a337849bdb","dd60e766-b524-4f5b-8d7a-b739a3528682","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","400"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76ac729f215fa6f11ebc2a337849bdb","dd60e766-b524-4f5b-8d7a-b739a3528682","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","68,48"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76ac729f215fa6f11ebc2a337849bdb","1f9133f7-9615-4f3d-8e1d-aeb5bbb12dc9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","200"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76ac729f215fa6f11ebc2a337849bdb","1f9133f7-9615-4f3d-8e1d-aeb5bbb12dc9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","34,24"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76ac729f215fa6f11ebc2a337849bdb","6379a62c-78fb-4e57-ac7b-7615282fbf05","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","500"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76ac729f215fa6f11ebc2a337849bdb","6379a62c-78fb-4e57-ac7b-7615282fbf05","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","85,6"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76bafe8d8921be311ebc46c82c98a97","dd60e766-b524-4f5b-8d7a-b739a3528682","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","900"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76bafe8d8921be311ebc46c82c98a97","dd60e766-b524-4f5b-8d7a-b739a3528682","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","154,08"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76bafe8d8921be311ebc46c82c98a97","5caf7777-7df5-4dea-9f92-e02a0e995b4b","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","490"
"e1cib/data/Document.IncomingPaymentOrder?ref=b76bafe8d8921be311ebc46c82c98a97","5caf7777-7df5-4dea-9f92-e02a0e995b4b","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","83,89"
