"Ref","DeletionMark","Parent","IsFolder","Settings","PathToExtDataProcForTest","Name","DataProcStorage","UnsafeMode","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.ExternalDataProc?ref=86f6d69b4676df1211ea172d0ccf48fb","False","","False","ValueStorage","","ExternalTCMBGovTr","ValueStorage","True","ExternalTCMBGovTr","","","ExternalTCMBGovTr"
"e1cib/data/Catalog.ExternalDataProc?ref=86f6d69b4676df1211ea172d24e6cd78","False","","False","ValueStorage","","ExternalBankUa","ValueStorage","True","ExternalBankUa","","","ExternalBankUa"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf114c59ef008","False","","False","ValueStorage","","Special Price","ValueStorage","False","Special Price","","","Special Price"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf116b327099d","False","","False","ValueStorage","","ExternaInputAddress","ValueStorage","False","ExternalInputAddress","","","ExternalInputAddress"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf116b327099e","False","","False","ValueStorage","","ExternalCoordinates","ValueStorage","False","ExternalCoordinates","","","ExternalCoordinates"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf116b327099f","False","","False","ValueStorage","","ExternalInputPhoneUkraine","ValueStorage","False","ExternalInputPhoneUkraine","","","ExternalInputPhoneUkraine"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf116b32709a0","False","","False","ValueStorage","","PhoneTR","ValueStorage","False","Phone TR","","","Phone TR"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf118bdb7bb81","False","","False","ValueStorage","","SalesPriceCalculation","ValueStorage","False","SalesPriceCalculation","","","SalesPriceCalculation"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb1f","False","","False","ValueStorage","","ExternalSpecialMessage","ValueStorage","False","ExternalSpecialMessage","","","ExternalSpecialMessage"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb20","False","","False","ValueStorage","","DocumentDiscount","ValueStorage","False","DocumentDiscount","","","DocumentDiscount"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb21","False","","False","ValueStorage","","ExternalSpecialOfferRules","ValueStorage","False","ExternalSpecialOfferRules","","","ExternalSpecialOfferRules"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb22","False","","False","ValueStorage","","ExternalRangeDiscount","ValueStorage","False","ExternalRangeDiscount","","","ExternalRangeDiscount"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf11e6faafb23","False","","False","ValueStorage","","ExternalFivePlusOne","ValueStorage","False","ExternalFivePlusOne","","","ExternalFivePlusOne"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf12effe70fd9","False","","False","ValueStorage","","PrintFormSalesOrder","ValueStorage","False","Test command","","","Test command tr"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf1365f10e31c","False","","False","ValueStorage","","PrintFormSalesOrder","ValueStorage","False","Sales order","","","Sales order tr"
"e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf13dc8cb47cc","False","","False","ValueStorage","","GenerateBarcode","ValueStorage","False","GenerateBarcode","","","GenerateBarcodeTR"
