"Opening entry 2 dated 07.09.2020 21:26:35","","","","",""
"Document registrations records","","","","",""
"Register  ""R4011 Free stocks""","","","","",""
"","Record type","Period","Resources","Dimensions",""
"","","","Quantity","Store","Item key"
"","Receipt","07.09.2020 21:26:35","100","Store 01","38/Yellow"
"","Receipt","07.09.2020 21:26:35","100","Store 01","36/Red"
"","Receipt","07.09.2020 21:26:35","100","Store 02","L/Green"
"","Receipt","07.09.2020 21:26:35","100","Store 02","38/Yellow"
"","Receipt","07.09.2020 21:26:35","100","Store 02","36/Red"
"","Receipt","07.09.2020 21:26:35","200","Store 02","36/18SD"
"","Receipt","07.09.2020 21:26:35","300","Store 01","36/18SD"
"","Receipt","07.09.2020 21:26:35","400","Store 01","XS/Blue"
"","Receipt","07.09.2020 21:26:35","400","Store 02","S/Yellow"
"","Receipt","07.09.2020 21:26:35","500","Store 01","XS/Blue"
"","Receipt","07.09.2020 21:26:35","500","Store 01","L/Green"
