"Ref","Rule"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb48","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb2a"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb49","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb29"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb40","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb34"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb45","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb2b"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb46","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb2c"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb47","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb2d"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb41","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb35"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf1217ba43b42","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb35"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb3e","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb34"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb42","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb35"
"e1cib/data/Catalog.SpecialOffers?ref=aa78120ed92fbced11eaf11e6faafb43","e1cib/data/Catalog.SpecialOfferRules?ref=aa78120ed92fbced11eaf11e6faafb35"
