
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:1408         127.0.0.1:54857        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57428        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57434        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57441        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57445        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57591        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57594        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57598        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57600        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57773        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57776        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57780        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57782        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57819        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57822        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57826        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57828        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57841        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57844        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57848        ESTABLISHED     2684
  TCP    127.0.0.1:1408         127.0.0.1:57850        ESTABLISHED     2684
  TCP    127.0.0.1:53376        127.0.0.1:53377        ESTABLISHED     10576
  TCP    127.0.0.1:53377        127.0.0.1:53376        ESTABLISHED     10576
  TCP    127.0.0.1:53378        127.0.0.1:53379        ESTABLISHED     9760
  TCP    127.0.0.1:53379        127.0.0.1:53378        ESTABLISHED     9760
  TCP    127.0.0.1:53380        127.0.0.1:53381        ESTABLISHED     14592
  TCP    127.0.0.1:53381        127.0.0.1:53380        ESTABLISHED     14592
  TCP    127.0.0.1:53384        127.0.0.1:53385        ESTABLISHED     16544
  TCP    127.0.0.1:53385        127.0.0.1:53384        ESTABLISHED     16544
  TCP    127.0.0.1:53393        127.0.0.1:53394        ESTABLISHED     17276
  TCP    127.0.0.1:53394        127.0.0.1:53393        ESTABLISHED     17276
  TCP    127.0.0.1:53408        127.0.0.1:53409        ESTABLISHED     13220
  TCP    127.0.0.1:53409        127.0.0.1:53408        ESTABLISHED     13220
  TCP    127.0.0.1:53702        127.0.0.1:53703        ESTABLISHED     6224
  TCP    127.0.0.1:53703        127.0.0.1:53702        ESTABLISHED     6224
  TCP    127.0.0.1:53919        127.0.0.1:53920        ESTABLISHED     3108
  TCP    127.0.0.1:53920        127.0.0.1:53919        ESTABLISHED     3108
  TCP    127.0.0.1:53921        127.0.0.1:53922        ESTABLISHED     4084
  TCP    127.0.0.1:53922        127.0.0.1:53921        ESTABLISHED     4084
  TCP    127.0.0.1:53923        127.0.0.1:53924        ESTABLISHED     10820
  TCP    127.0.0.1:53924        127.0.0.1:53923        ESTABLISHED     10820
  TCP    127.0.0.1:53929        127.0.0.1:53930        ESTABLISHED     7604
  TCP    127.0.0.1:53930        127.0.0.1:53929        ESTABLISHED     7604
  TCP    127.0.0.1:53931        127.0.0.1:53932        ESTABLISHED     8276
  TCP    127.0.0.1:53932        127.0.0.1:53931        ESTABLISHED     8276
  TCP    127.0.0.1:53937        127.0.0.1:53938        ESTABLISHED     17916
  TCP    127.0.0.1:53938        127.0.0.1:53937        ESTABLISHED     17916
  TCP    127.0.0.1:53966        127.0.0.1:53967        ESTABLISHED     6084
  TCP    127.0.0.1:53967        127.0.0.1:53966        ESTABLISHED     6084
  TCP    127.0.0.1:54849        127.0.0.1:54850        ESTABLISHED     17472
  TCP    127.0.0.1:54850        127.0.0.1:54849        ESTABLISHED     17472
  TCP    127.0.0.1:54851        127.0.0.1:54852        ESTABLISHED     17472
  TCP    127.0.0.1:54852        127.0.0.1:54851        ESTABLISHED     17472
  TCP    127.0.0.1:54853        127.0.0.1:54854        ESTABLISHED     17472
  TCP    127.0.0.1:54854        127.0.0.1:54853        ESTABLISHED     17472
  TCP    127.0.0.1:54855        127.0.0.1:54856        ESTABLISHED     17472
  TCP    127.0.0.1:54856        127.0.0.1:54855        ESTABLISHED     17472
  TCP    127.0.0.1:54857        127.0.0.1:1408         ESTABLISHED     17472
  TCP    127.0.0.1:54858        127.0.0.1:54859        ESTABLISHED     2684
  TCP    127.0.0.1:54859        127.0.0.1:54858        ESTABLISHED     2684
  TCP    127.0.0.1:57428        127.0.0.1:1408         ESTABLISHED     18384
  TCP    127.0.0.1:57434        127.0.0.1:1408         ESTABLISHED     18384
  TCP    127.0.0.1:57441        127.0.0.1:1408         ESTABLISHED     18384
  TCP    127.0.0.1:57445        127.0.0.1:1408         ESTABLISHED     18384
  TCP    127.0.0.1:57591        127.0.0.1:1408         ESTABLISHED     9204
