"Ref","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","Key","MovementType","Amount"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","d43e725b-6ade-4f65-9181-e7469e6603f2","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","1 254"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","d43e725b-6ade-4f65-9181-e7469e6603f2","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 254"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","d43e725b-6ade-4f65-9181-e7469e6603f2","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","214,68"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","039f334e-4810-459f-bf0c-52c71cd265fe","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","1 254"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","039f334e-4810-459f-bf0c-52c71cd265fe","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 254"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","039f334e-4810-459f-bf0c-52c71cd265fe","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","214,68"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc27","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","2dafed57-41b2-46a2-b1ef-288f91333e4b","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","988"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc27","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","2dafed57-41b2-46a2-b1ef-288f91333e4b","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","988"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc27","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","2dafed57-41b2-46a2-b1ef-288f91333e4b","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","169,15"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","6c573910-a904-4672-9f15-2b885396b54e","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","19 874"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","6c573910-a904-4672-9f15-2b885396b54e","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","19 874"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","6c573910-a904-4672-9f15-2b885396b54e","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","3 402,43"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fdc2bd611f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","a5b1c61d-7f02-41db-a1c1-1bf281e425f9","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c1861","3 325"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fdc2bd611f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","5,6275","0,1777","False","1","a5b1c61d-7f02-41db-a1c1-1bf281e425f9","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","18 711,44"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fdc2bd611f","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","a5b1c61d-7f02-41db-a1c1-1bf281e425f9","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","3 325"
