"Ref","Key","Tax","Analytics","TaxRate","Amount","IncludeToTotalAmount","ManualAmount"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede0","9f511478-bf4c-4e6b-9d5d-16d016bdcc4e","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","10,68","True","10,68"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede0","c15c1eee-d29a-4821-bd09-464fe62bbaa8","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","15,25","True","15,25"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede5","4c3a88d9-a855-4efd-89f7-acbc572b0b50","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef012","0","True","0"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede8","dd3b3905-bb75-4595-824f-94fe32c6f174","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","15,25","True","15,25"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bede8","7af7a593-ae07-46af-899c-9cf2eded7237","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","1,53","True","1,53"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bedeb","e489a96d-2dd6-41cb-b4ea-ea2e5dca9ee5","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","15,25","True","15,25"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0b6bedeb","75b8829c-908c-4e6d-b646-89a7eb0fbd1f","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","13,73","True","13,73"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eede","f2a4c5df-ad06-4ca0-b1bd-44345a60d112","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","30,51","True","30,51"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee2","63fb829f-4596-4698-a17f-3300ef47c5dd","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","15,25","True","15,25"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee4","07965481-4978-4c3e-8081-840d41159dd7","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","28,98","True","28,98"
"e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee6","b5c5c069-8418-4ead-b639-093a401e5960","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","15,25","True","15,25"
