Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                      7152 RDP-Tcp#73                 4  1В 370В 012 K
1cv8.exe                      7240 RDP-Tcp#73                 4  1В 474В 476 K
1cv8.exe                     14844 RDP-Tcp#73                 4  1В 289В 988 K
1cv8.exe                     17080 RDP-Tcp#73                 4  1В 783В 220 K
1cv8.exe                     17560 RDP-Tcp#73                 4  1В 285В 988 K
1cv8c.exe                     1080 RDP-Tcp#73                 4    661В 324 K
1cv8c.exe                     3344 RDP-Tcp#73                 4    727В 752 K
1cv8c.exe                    14768 RDP-Tcp#73                 4    721В 312 K
1cv8c.exe                    16580 RDP-Tcp#73                 4    748В 316 K
1cv8c.exe                    16648 RDP-Tcp#82                 6     50В 424 K
1cv8c.exe                    16676 RDP-Tcp#73                 4    611В 392 K
1cv8c.exe                    17564 RDP-Tcp#82                 6  1В 557В 488 K
cmd.exe                      12456 RDP-Tcp#73                 4      3В 392 K
Code.exe                      1392 RDP-Tcp#128                2     70В 392 K
Code.exe                      4956 RDP-Tcp#128                2     26В 448 K
Code.exe                      5980 RDP-Tcp#82                 6     26В 668 K
Code.exe                      8204 RDP-Tcp#82                 6     43В 692 K
Code.exe                      8720 RDP-Tcp#82                 6     72В 680 K
Code.exe                      9776 RDP-Tcp#82                 6     90В 060 K
Code.exe                     11980 RDP-Tcp#128                2     66В 332 K
Code.exe                     12020 RDP-Tcp#128                2     14В 096 K
Code.exe                     12100 RDP-Tcp#82                 6     14В 016 K
Code.exe                     12948 RDP-Tcp#128                2     54В 180 K
Code.exe                     12960 RDP-Tcp#82                 6     70В 400 K
Code.exe                     13088 RDP-Tcp#128                2     63В 432 K
Code.exe                     13572 RDP-Tcp#82                 6     31В 072 K
Code.exe                     13876 RDP-Tcp#128                2     29В 924 K
Code.exe                     14660 RDP-Tcp#82                 6    205В 628 K
Code.exe                     15576 RDP-Tcp#128                2    146В 296 K
Code.exe                     16200 RDP-Tcp#82                 6    176В 320 K
Code.exe                     16404 RDP-Tcp#82                 6     66В 396 K
Code.exe                     16720 RDP-Tcp#82                 6     81В 068 K
CodeHelper.exe                5404 RDP-Tcp#82                 6     14В 696 K
CodeHelper.exe               13988 RDP-Tcp#82                 6     14В 848 K
conhost.exe                   2892 RDP-Tcp#82                 6      8В 164 K
conhost.exe                   4532 RDP-Tcp#73                 4      7В 092 K
conhost.exe                   4716 RDP-Tcp#73                 4      7В 096 K
conhost.exe                   6700                            3      9В 340 K
conhost.exe                   7272 RDP-Tcp#73                 4      9В 596 K
conhost.exe                   7972 RDP-Tcp#73                 4      7В 112 K
conhost.exe                  10160                            5      9В 356 K
conhost.exe                  11120 RDP-Tcp#73                 4      7В 092 K
conhost.exe                  12220 RDP-Tcp#73                 4      6В 788 K
conhost.exe                  13012 RDP-Tcp#82                 6      8В 164 K
conhost.exe                  13596 RDP-Tcp#73                 4      8В 460 K
conhost.exe                  14268 RDP-Tcp#73                 4     11В 088 K
conhost.exe                  15964 RDP-Tcp#73                 4      6В 716 K
conhost.exe                  16328 RDP-Tcp#73                 4      7В 092 K
csrss.exe                      512 Services                   0      4В 268 K
csrss.exe                      604 Console                    1      4В 064 K
csrss.exe                     3816 RDP-Tcp#128                2     13В 568 K
csrss.exe                     5020                            3     12В 212 K
csrss.exe                     6972 RDP-Tcp#73                 4     13В 968 K
csrss.exe                     7164                            5     10В 996 K
csrss.exe                    14072 RDP-Tcp#82                 6     15В 168 K
dbgs.exe                      2684 RDP-Tcp#73                 4    545В 192 K
dwm.exe                        532                            3     43В 704 K
dwm.exe                       1016 Console                    1     29В 724 K
dwm.exe                       4028 RDP-Tcp#128                2     77В 704 K
dwm.exe                       7140 RDP-Tcp#73                 4     79В 448 K
dwm.exe                       8240                            5     42В 920 K
dwm.exe                      16412 RDP-Tcp#82                 6    103В 216 K
explorer.exe                  4664 RDP-Tcp#128                2     82В 752 K
explorer.exe                  6072                            3     70В 340 K
explorer.exe                  7444 RDP-Tcp#73                 4     93В 244 K
explorer.exe                  9196                            5     70В 872 K
explorer.exe                 11024 RDP-Tcp#82                 6    104В 956 K
firefox.exe                   3108 RDP-Tcp#128                2    297В 204 K
firefox.exe                   4084 RDP-Tcp#128                2    216В 512 K
firefox.exe                   4144 RDP-Tcp#82                 6    180В 312 K
firefox.exe                   6084 RDP-Tcp#128                2     31В 896 K
firefox.exe                   6224 RDP-Tcp#82                 6     32В 028 K
firefox.exe                   7604 RDP-Tcp#128                2     69В 236 K
firefox.exe                   8276 RDP-Tcp#128                2     74В 524 K
firefox.exe                   9760 RDP-Tcp#82                 6     16В 032 K
firefox.exe                  10576 RDP-Tcp#82                 6    359В 264 K
firefox.exe                  10820 RDP-Tcp#128                2     97В 704 K
firefox.exe                  13220 RDP-Tcp#82                 6    462В 592 K
firefox.exe                  13440 RDP-Tcp#82                 6     22В 284 K
firefox.exe                  14592 RDP-Tcp#82                 6    199В 024 K
firefox.exe                  14608 RDP-Tcp#128                2    116В 292 K
firefox.exe                  16544 RDP-Tcp#82                 6     89В 516 K
firefox.exe                  17276 RDP-Tcp#82                 6     54В 336 K
firefox.exe                  17916 RDP-Tcp#128                2     61В 240 K
fontdrvhost.exe               6716                            5      3В 228 K
fontdrvhost.exe              12024 RDP-Tcp#73                 4      6В 324 K
fontdrvhost.exe              16188                            3      3В 232 K
fontdrvhost.exe              17340 RDP-Tcp#82                 6      3В 460 K
GitHubDesktop.exe             4636 RDP-Tcp#82                 6    131В 784 K
GitHubDesktop.exe            12312 RDP-Tcp#82                 6     68В 660 K
GitHubDesktop.exe            12972 RDP-Tcp#82                 6     25В 564 K
GitHubDesktop.exe            16944 RDP-Tcp#82                 6     58В 608 K
IpOverUsbSvc.exe              2408 Services                   0     12В 552 K
java.exe                       692                            5    536В 784 K
java.exe                      6692                            3     38В 824 K
java.exe                      7280 RDP-Tcp#73                 4     39В 168 K
