"Ref","Key","Tax","Amount","Analytics","TaxRate","IncludeToTotalAmount","ManualAmount"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c79aefb50c1","a24a1361-f715-4eb8-bcd7-eb2abf48bd0c","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","6 101,69","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","6 101,69"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c79aefb50c1","41d4c584-1b7b-4f0a-a104-2f544f51b9bd","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","610,17","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","610,17"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c79aefb50c1","ace4b347-74ac-49a7-a3be-7508c16cd47e","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","6 101,69","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","6 101,69"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c79aefb50c1","5497ce9a-293f-4042-8b1b-1957c2b4b05c","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","610,17","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","610,17"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c99f394d4bc","53dcc1ff-d3e9-4e7d-9b42-f7bf309e2483","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","6 101,69","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","6 101,69"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c99f394d4bc","81cb7855-2161-40b6-8e4d-dae229a7c13a","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","610,17","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","610,17"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c99f394d4bc","d4f5a079-ce48-4181-94b9-5b38e72c8754","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","6 101,69","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","6 101,69"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c99f394d4c0","0715d37e-8ffb-43d9-8c8c-84db15ac4418","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","6 101,69","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","6 101,69"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c99f394d4c0","f7cf63c7-4e7d-486c-931b-b9bec02eceab","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","610,17","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","610,17"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb8c99f394d4c0","19056333-606e-45db-b35e-767d596f1592","e1cib/data/Catalog.Taxes?ref=aa78120ed92fbced11eaf116b32709c4","6 101,69","","e1cib/data/Catalog.TaxRates?ref=aa78120ed92fbced11eaf114c59ef010","True","6 101,69"
