Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
1cv8.exe                     11536 RDP-Tcp#73                 4  1В 423В 120 K
1cv8.exe                     12248 RDP-Tcp#73                 4  1В 285В 180 K
1cv8.exe                     14356 RDP-Tcp#73                 4  1В 274В 780 K
1cv8.exe                     14552 RDP-Tcp#73                 4  1В 034В 268 K
1cv8.exe                     15668 RDP-Tcp#73                 4  1В 524В 284 K
1cv8c.exe                     1980 RDP-Tcp#73                 4    719В 128 K
1cv8c.exe                     2520 RDP-Tcp#73                 4    640В 300 K
1cv8c.exe                     8008 RDP-Tcp#73                 4    701В 984 K
1cv8c.exe                    12544 RDP-Tcp#73                 4    701В 408 K
1cv8c.exe                    14840 RDP-Tcp#73                 4    523В 416 K
1cv8c.exe                    16648 RDP-Tcp#82                 6    773В 364 K
1cv8c.exe                    17564 RDP-Tcp#82                 6  1В 652В 932 K
cmd.exe                       8408 RDP-Tcp#73                 4      3В 392 K
Code.exe                      1392 RDP-Tcp#128                2     70В 336 K
Code.exe                      4956 RDP-Tcp#128                2     26В 364 K
Code.exe                      5980 RDP-Tcp#82                 6     26В 480 K
Code.exe                      8204 RDP-Tcp#82                 6     43В 496 K
Code.exe                      8720 RDP-Tcp#82                 6     72В 476 K
Code.exe                      9776 RDP-Tcp#82                 6     90В 048 K
Code.exe                     11980 RDP-Tcp#128                2     66В 320 K
Code.exe                     12020 RDP-Tcp#128                2     14В 096 K
Code.exe                     12100 RDP-Tcp#82                 6     14В 012 K
Code.exe                     12948 RDP-Tcp#128                2     54В 176 K
Code.exe                     12960 RDP-Tcp#82                 6     70В 820 K
Code.exe                     13088 RDP-Tcp#128                2     62В 716 K
Code.exe                     13572 RDP-Tcp#82                 6     30В 172 K
Code.exe                     13876 RDP-Tcp#128                2     29В 956 K
Code.exe                     14660 RDP-Tcp#82                 6    202В 836 K
Code.exe                     15576 RDP-Tcp#128                2    146В 672 K
Code.exe                     16200 RDP-Tcp#82                 6    175В 160 K
Code.exe                     16404 RDP-Tcp#82                 6     65В 372 K
Code.exe                     16720 RDP-Tcp#82                 6     80В 848 K
CodeHelper.exe                5404 RDP-Tcp#82                 6     14В 664 K
CodeHelper.exe               13988 RDP-Tcp#82                 6     14В 812 K
conhost.exe                   2580 RDP-Tcp#73                 4      6В 728 K
conhost.exe                   2892 RDP-Tcp#82                 6      8В 164 K
conhost.exe                   6700                            3      9В 340 K
conhost.exe                   7272 RDP-Tcp#73                 4      9В 596 K
conhost.exe                   8504 RDP-Tcp#73                 4      6В 720 K
conhost.exe                  10160                            5      9В 356 K
conhost.exe                  12220 RDP-Tcp#73                 4      6В 788 K
conhost.exe                  12708 RDP-Tcp#73                 4     11В 104 K
conhost.exe                  13012 RDP-Tcp#82                 6      8В 164 K
conhost.exe                  13596 RDP-Tcp#73                 4      8В 460 K
conhost.exe                  15964 RDP-Tcp#73                 4      6В 716 K
conhost.exe                  17132 RDP-Tcp#73                 4      6В 724 K
conhost.exe                  17388 RDP-Tcp#73                 4      7В 108 K
conhost.exe                  18236 RDP-Tcp#73                 4      6В 724 K
csrss.exe                      512 Services                   0      4В 268 K
csrss.exe                      604 Console                    1      4В 064 K
csrss.exe                     3816 RDP-Tcp#128                2     13В 568 K
csrss.exe                     5020                            3     12В 212 K
csrss.exe                     6972 RDP-Tcp#73                 4     14В 160 K
csrss.exe                     7164                            5     10В 996 K
csrss.exe                    14072 RDP-Tcp#82                 6     15В 508 K
dbgs.exe                      2684 RDP-Tcp#73                 4    565В 580 K
dwm.exe                        532                            3     43В 700 K
dwm.exe                       1016 Console                    1     29В 724 K
dwm.exe                       4028 RDP-Tcp#128                2     77В 704 K
dwm.exe                       7140 RDP-Tcp#73                 4     79В 764 K
dwm.exe                       8240                            5     42В 920 K
dwm.exe                      16412 RDP-Tcp#82                 6    115В 636 K
explorer.exe                  4664 RDP-Tcp#128                2     82В 888 K
explorer.exe                  6072                            3     70В 492 K
explorer.exe                  7444 RDP-Tcp#73                 4     93В 824 K
explorer.exe                  9196                            5     70В 968 K
explorer.exe                 11024 RDP-Tcp#82                 6    101В 216 K
firefox.exe                   3108 RDP-Tcp#128                2    298В 800 K
firefox.exe                   4084 RDP-Tcp#128                2    216В 380 K
firefox.exe                   4144 RDP-Tcp#82                 6    167В 352 K
firefox.exe                   6084 RDP-Tcp#128                2     31В 896 K
firefox.exe                   6224 RDP-Tcp#82                 6     32В 028 K
firefox.exe                   7604 RDP-Tcp#128                2     69В 460 K
firefox.exe                   8276 RDP-Tcp#128                2     74В 520 K
firefox.exe                   9760 RDP-Tcp#82                 6     16В 032 K
firefox.exe                  10576 RDP-Tcp#82                 6    376В 048 K
firefox.exe                  10820 RDP-Tcp#128                2    100В 256 K
firefox.exe                  13220 RDP-Tcp#82                 6    469В 000 K
firefox.exe                  13440 RDP-Tcp#82                 6     22В 280 K
firefox.exe                  14592 RDP-Tcp#82                 6    197В 428 K
