"Ref","Key","ItemKey","Store","Quantity"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","fb88faa2-29ff-4281-bd5c-5d0fa41883a4","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","50"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","54107c2e-f320-4833-8819-141476ec8870","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c60e","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","100"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","597b94f0-a624-4427-a639-81ddc29a4bf3","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf11c9f09fc92","50"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","b0e7bfa1-d4bb-4071-be0c-067b55999754","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c60e","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf11c9f09fc92","100"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","a9108d8d-5bb0-4fe3-b085-fde6088328ba","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf11c9f09fc93","50"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","34a83698-d2bd-49b5-96b8-c1572efb2063","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c60e","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf11c9f09fc93","100"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","ae0c6013-73f6-4455-a1c2-48cfd6b8127a","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fb","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf13c5c2df444","120"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","e2151488-7e07-49ad-93f0-060a19e8899c","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","20"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","e7e953f5-9336-4fa3-94ce-27f5d637507b","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c603","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","20"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","219bc50a-f611-4ebd-971c-223fb6ad2489","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c608","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","80"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","08b1f643-a198-4159-987d-1c1e40004b65","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf1277d18ed8c","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","20"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","219bc50a-f611-4ebd-971c-223fb6ad2489","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c608","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","80"
"e1cib/data/Document.OpeningEntry?ref=b75dad46e66c4c2c11eb404a0b203340","08b1f643-a198-4159-987d-1c1e40004b65","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf1277d18ed8c","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d","20"
