"Ref","DeletionMark","Currency","ExternalDataProc","ExternalDataProcSettings","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.PriceTypes?ref=aa6b120ed92fbced11eacd8baf320dc8","False","e1cib/data/Catalog.Currencies?ref=aa6b120ed92fbced11eacd8baf320da1","","ValueStorage","Current Price","","","Current Price TR"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","","ValueStorage","Basic Price Types","","","Basic Price Types TR"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eefff","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","","ValueStorage","Price USD","","","Price USD TR"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef000","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","","ValueStorage","Discount Price TRY 1","","","Discount Price TRY 1 TR"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef001","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","","ValueStorage","Discount Price TRY 2","","","Discount Price TRY 2 TR"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef002","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","","ValueStorage","Basic Price without VAT","","","Basic Price without VAT"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef003","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","","ValueStorage","Discount 1 TRY without VAT","","","Discount 1 TRY without VAT"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef004","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","","ValueStorage","Discount 2 TRY without VAT","","","Discount 2 TRY without VAT"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef005","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","","ValueStorage","Vendor price, TRY","","","Vendor price, TRY TR"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef006","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","","ValueStorage","Vendor price, USD","","","Vendor price, USD TR"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59ef007","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","","ValueStorage","Vendor price, EUR","","","Vendor price, EUR TR"
"e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf118bdb7bb82","False","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","e1cib/data/Catalog.ExternalDataProc?ref=aa78120ed92fbced11eaf118bdb7bb81","ValueStorage","Dependent Price","","","Dependent Price TR"
