"UserOrGroup","MetadataObject","AttributeName","KindOfAttribute","Value"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.Bundling","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.Bundling","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.GoodsReceipt","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.GoodsReceipt","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.OpeningEntry","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.OpeningEntry","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PhysicalInventory","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PhysicalInventory","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseInvoice","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseInvoice","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseOrder","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseOrder","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseReturn","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseReturn","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseReturnOrder","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.RetailReturnReceipt","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.RetailReturnReceipt","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.RetailSalesReceipt","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.RetailSalesReceipt","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesInvoice","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesInvoice","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesOrder","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesOrder","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.ShipmentConfirmation","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.ShipmentConfirmation","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.StockAdjustmentAsSurplus","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.StockAdjustmentAsSurplus","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.StockAdjustmentAsWriteOff","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.StockAdjustmentAsWriteOff","'CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.Unbundling","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.Unbundling","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransfer","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransfer","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransferOrder","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransferOrder","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesOrderClosing","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesReturn","CheckBalance_R4010B_ActualStocks","Enum.KindsOfAttributes.Custom","True"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesReturn","CheckBalance_R4011B_FreeStocks","Enum.KindsOfAttributes.Custom","True"
