"Sales order 1 dated 27.01.2021 19:50:45","","","","","","","","","","","","","",""
"Document registrations records","","","","","","","","","","","","","",""
"Register  ""R2010 Sales orders""","","","","","","","","","","","","","",""
"","Period","Resources","","","","Dimensions","","","","","","","","Attributes"
"","","Quantity","Amount","Net amount","Offers amount","Company","Branch","Multi currency movement type","Currency","Order","Item key","Row key","Procurement method","Deferred calculation"
"","27.01.2021 19:50:45","1","16,26","13,78","0,86","Main Company","Distribution department","Reporting currency","USD","Sales order 1 dated 27.01.2021 19:50:45","Interner","0a13bddb-cb97-4515-a9ef-777b6924ebf1","","No"
"","27.01.2021 19:50:45","1","84,57","71,67","4,45","Main Company","Distribution department","Reporting currency","USD","Sales order 1 dated 27.01.2021 19:50:45","XS/Blue","63008c12-b682-4aff-b29f-e6927036b05a","Stock","No"
"","27.01.2021 19:50:45","1","95","80,51","5","Main Company","Distribution department","Local currency","TRY","Sales order 1 dated 27.01.2021 19:50:45","Interner","0a13bddb-cb97-4515-a9ef-777b6924ebf1","","No"
"","27.01.2021 19:50:45","1","95","80,51","5","Main Company","Distribution department","TRY","TRY","Sales order 1 dated 27.01.2021 19:50:45","Interner","0a13bddb-cb97-4515-a9ef-777b6924ebf1","","No"
"","27.01.2021 19:50:45","1","95","80,51","5","Main Company","Distribution department","en description is empty","TRY","Sales order 1 dated 27.01.2021 19:50:45","Interner","0a13bddb-cb97-4515-a9ef-777b6924ebf1","","No"
"","27.01.2021 19:50:45","1","494","418,64","26","Main Company","Distribution department","Local currency","TRY","Sales order 1 dated 27.01.2021 19:50:45","XS/Blue","63008c12-b682-4aff-b29f-e6927036b05a","Stock","No"
"","27.01.2021 19:50:45","1","494","418,64","26","Main Company","Distribution department","TRY","TRY","Sales order 1 dated 27.01.2021 19:50:45","XS/Blue","63008c12-b682-4aff-b29f-e6927036b05a","Stock","No"
"","27.01.2021 19:50:45","1","494","418,64","26","Main Company","Distribution department","en description is empty","TRY","Sales order 1 dated 27.01.2021 19:50:45","XS/Blue","63008c12-b682-4aff-b29f-e6927036b05a","Stock","No"
"","27.01.2021 19:50:45","10","569,24","482,41","29,96","Main Company","Distribution department","Reporting currency","USD","Sales order 1 dated 27.01.2021 19:50:45","36/Red","e34f52ea-1fe2-47b2-9b37-63c093896662","No reserve","No"
"","27.01.2021 19:50:45","10","3 325","2 817,8","175","Main Company","Distribution department","Local currency","TRY","Sales order 1 dated 27.01.2021 19:50:45","36/Red","e34f52ea-1fe2-47b2-9b37-63c093896662","No reserve","No"
"","27.01.2021 19:50:45","10","3 325","2 817,8","175","Main Company","Distribution department","TRY","TRY","Sales order 1 dated 27.01.2021 19:50:45","36/Red","e34f52ea-1fe2-47b2-9b37-63c093896662","No reserve","No"
"","27.01.2021 19:50:45","10","3 325","2 817,8","175","Main Company","Distribution department","en description is empty","TRY","Sales order 1 dated 27.01.2021 19:50:45","36/Red","e34f52ea-1fe2-47b2-9b37-63c093896662","No reserve","No"
"","27.01.2021 19:50:45","24","2 732,35","2 315,55","143,81","Main Company","Distribution department","Reporting currency","USD","Sales order 1 dated 27.01.2021 19:50:45","37/18SD","5d82f8d1-e3f8-4453-aa45-4f7ac9601689","Purchase","No"
"","27.01.2021 19:50:45","24","15 960","13 525,42","840","Main Company","Distribution department","Local currency","TRY","Sales order 1 dated 27.01.2021 19:50:45","37/18SD","5d82f8d1-e3f8-4453-aa45-4f7ac9601689","Purchase","No"
"","27.01.2021 19:50:45","24","15 960","13 525,42","840","Main Company","Distribution department","TRY","TRY","Sales order 1 dated 27.01.2021 19:50:45","37/18SD","5d82f8d1-e3f8-4453-aa45-4f7ac9601689","Purchase","No"
"","27.01.2021 19:50:45","24","15 960","13 525,42","840","Main Company","Distribution department","en description is empty","TRY","Sales order 1 dated 27.01.2021 19:50:45","37/18SD","5d82f8d1-e3f8-4453-aa45-4f7ac9601689","Purchase","No"
