"Ref","Key","ItemKey","Store","PurchaseOrder","Unit","Quantity","Price","PriceType","TaxAmount","TotalAmount","NetAmount","OffersAmount","ProfitLossCenter","ExpenseType","DeliveryDate","SalesOrder","Detail","AdditionalAnalytic","DontCalculateRow","QuantityInBaseUnit","UseGoodsReceipt","InternalSupplyRequest"
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd79","8fed714c-546c-4d50-b835-75ddc1eabefa","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","520","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","936","6 136","5 200","0","","","01.01.0001 00:00:00","","","","False","10","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd79","fbeeeb74-1150-4de9-a7ae-9dfc69eaadb2","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","12","400","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","864","5 664","4 800","0","","","01.01.0001 00:00:00","","","","False","12","False",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd79","7986cd42-5bed-48d6-856a-91e98d0b5c37","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","3","520","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","280,8","1 840,8","1 560","0","","","01.01.0001 00:00:00","","","","False","3","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd79","39280ff5-f6f0-439c-b78c-6e0dfbca6572","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","15","400","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","1 080","7 080","6 000","0","","","01.01.0001 00:00:00","","","","False","15","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd79","184f95a0-cfce-4903-95b8-53b4ff58b919","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf115bcc9c60b","2","8 400","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","3 024","19 824","16 800","0","","","01.01.0001 00:00:00","","","","False","24","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd7f","5a5da39b-3849-4b8d-9584-35b64bbd04ca","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","10","520","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","936","6 136","5 200","0","","","01.01.0001 00:00:00","","","","False","10","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd7f","b8bc389f-2d8b-46c4-a69f-a66c7f558625","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","22","400","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","1 584","10 384","8 800","0","","","01.01.0001 00:00:00","","","","False","22","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd7f","0de930c8-5fb6-4ae1-8968-cc42dbf0865d","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fd","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","6","520","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","561,6","3 681,6","3 120","0","","","01.01.0001 00:00:00","","","","False","6","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd7f","3ce73811-7901-46a4-aec8-53d605a9851f","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c600","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","15","400","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","1 080","7 080","6 000","0","","","01.01.0001 00:00:00","","","","False","15","True",""
"e1cib/data/Document.PurchaseInvoice?ref=b762b13668d0905011eb7d9ae98ccd7f","c9145652-7ea1-4520-abe0-361e49259b12","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c604","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf115bcc9c60b","10","8 400","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","15 120","99 120","84 000","0","","","01.01.0001 00:00:00","","","","False","120","False",""
