"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc2","6116057d-5f92-4c10-8e5e-8d7861619c1e","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","2 300"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc2","6116057d-5f92-4c10-8e5e-8d7861619c1e","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 300"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc2","6116057d-5f92-4c10-8e5e-8d7861619c1e","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","393,76"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc1","b2623749-e62f-4f2c-a273-6d85ade2a267","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","2 300"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc1","b2623749-e62f-4f2c-a273-6d85ade2a267","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 300"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc1","b2623749-e62f-4f2c-a273-6d85ade2a267","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","393,76"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","3aac327f-1b31-4b0d-8f9b-6b1c40906fdf","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","4 470"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","3aac327f-1b31-4b0d-8f9b-6b1c40906fdf","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","4 470"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cbf","3aac327f-1b31-4b0d-8f9b-6b1c40906fdf","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","765,26"
"e1cib/data/Document.PurchaseInvoice?ref=b76197e183b782dc11eb6d33b1126cc3","c8fdd7f6-038b-4c0a-a57c-9ea08bfc5486","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","2 070"
