"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a99","8fe47888-ce46-4abc-9948-40821dbcc779","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","600"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a99","8fe47888-ce46-4abc-9948-40821dbcc779","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","102,72"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a99","2cfbd4c2-e7dd-443e-9272-1a67797e1214","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","400"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a99","2cfbd4c2-e7dd-443e-9272-1a67797e1214","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","68,48"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a9a","8fe47888-ce46-4abc-9948-40821dbcc779","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","2 000"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a9a","8fe47888-ce46-4abc-9948-40821dbcc779","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","342,4"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a9a","8fe47888-ce46-4abc-9948-40821dbcc779","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","9","0,1111","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","1 620"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a9a","8fe47888-ce46-4abc-9948-40821dbcc779","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","198"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a9b","8fe47888-ce46-4abc-9948-40821dbcc779","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","9","0,1111","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","4 500"
"e1cib/data/Document.BankReceipt?ref=b76bafe8d8921be311ebc51705bb5a9b","8fe47888-ce46-4abc-9948-40821dbcc779","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1857","1,1","0,9091","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","550"
