"Ref","Key","Item","Attribute","Value"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2755","e319e993-2ec2-4892-b10a-ae6ef17155a4","e1cib/data/Catalog.ItemTypes?ref=b762b13668d0905011eb76684b9f6878","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6872","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb76684b9f6873"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2755","e319e993-2ec2-4892-b10a-ae6ef17155a4","e1cib/data/Catalog.ItemTypes?ref=b762b13668d0905011eb76684b9f6878","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6877","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb766bf96b274c"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2755","60f98eb1-a81e-40b1-b48a-80681638eaf6","e1cib/data/Catalog.ItemTypes?ref=b762b13668d0905011eb76684b9f6878","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6872","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb76684b9f6874"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2755","60f98eb1-a81e-40b1-b48a-80681638eaf6","e1cib/data/Catalog.ItemTypes?ref=b762b13668d0905011eb76684b9f6878","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6877","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb766bf96b274d"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2756","08f82099-2484-4552-ac94-c75039e821b4","e1cib/data/Catalog.ItemTypes?ref=b762b13668d0905011eb76684b9f6878","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6872","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb76684b9f6875"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2756","08f82099-2484-4552-ac94-c75039e821b4","e1cib/data/Catalog.ItemTypes?ref=b762b13668d0905011eb76684b9f6878","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6877","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb766bf96b274e"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2756","438f09e3-6a67-4b84-8548-5c84fd792618","e1cib/data/Catalog.ItemTypes?ref=b762b13668d0905011eb76684b9f6878","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6872","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb76684b9f6876"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b2756","438f09e3-6a67-4b84-8548-5c84fd792618","e1cib/data/Catalog.ItemTypes?ref=b762b13668d0905011eb76684b9f6878","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6877","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb766bf96b274d"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b275b","a09809aa-4ce6-4a2f-8b39-d4f7ee0db9a9","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb76684b9f687d","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6872","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb76684b9f6875"
"e1cib/data/Catalog.Specifications?ref=b762b13668d0905011eb766bf96b275b","a09809aa-4ce6-4a2f-8b39-d4f7ee0db9a9","e1cib/data/Catalog.Items?ref=b762b13668d0905011eb76684b9f687d","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=b762b13668d0905011eb76684b9f6877","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=b762b13668d0905011eb766bf96b274d"
