"Recorder","Row ID","Step","Basis","Row ref","Quantity"
"Sales order 501 dated 30.03.2021 11:56:21","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","PO&PI","Sales order 501 dated 30.03.2021 11:56:21","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","5,000"
"Sales order 501 dated 30.03.2021 11:56:21","3cddf099-4bbf-4c9c-807a-bb2388f83e42","PO&PI","Sales order 501 dated 30.03.2021 11:56:21","3cddf099-4bbf-4c9c-807a-bb2388f83e42","2,000"
"Sales order 501 dated 30.03.2021 11:56:21","b5b69355-5373-4cd3-9ed7-d08af7501bc7","SI","Sales order 501 dated 30.03.2021 11:56:21","b5b69355-5373-4cd3-9ed7-d08af7501bc7","1,000"
"Sales order 501 dated 30.03.2021 11:56:21","2e0968f4-d293-4faa-abe0-d25c849e9c32","SI&SC","Sales order 501 dated 30.03.2021 11:56:21","2e0968f4-d293-4faa-abe0-d25c849e9c32","5,000"
"Sales order 501 dated 30.03.2021 11:56:21","2659612d-158f-49a2-bbf4-46c70f05eb9d","SI&SC","Sales order 501 dated 30.03.2021 11:56:21","2659612d-158f-49a2-bbf4-46c70f05eb9d","10,000"
"Sales order 502 dated 30.03.2021 11:56:28","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","PO&PI","Sales order 502 dated 30.03.2021 11:56:28","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","8,000"
"Sales order 502 dated 30.03.2021 11:56:28","647c0486-7e3c-49c1-aca2-7ffcc3246b18","PO&PI","Sales order 502 dated 30.03.2021 11:56:28","647c0486-7e3c-49c1-aca2-7ffcc3246b18","11,000"
"Sales order 502 dated 30.03.2021 11:56:28","4a003d08-12af-4c34-98d5-5cdeb84616de","PO&PI","Sales order 502 dated 30.03.2021 11:56:28","4a003d08-12af-4c34-98d5-5cdeb84616de","8,000"
"Sales order 502 dated 30.03.2021 11:56:28","1b08fb3c-845d-4912-9cc0-e07de99cb5c7","SI","Sales order 502 dated 30.03.2021 11:56:28","1b08fb3c-845d-4912-9cc0-e07de99cb5c7","2,000"
"Sales order 503 dated 30.03.2021 11:57:06","323ed282-6c37-4443-b3b5-6abd5531e1b7","PO&PI","Sales order 503 dated 30.03.2021 11:57:06","323ed282-6c37-4443-b3b5-6abd5531e1b7","10,000"
"Sales order 503 dated 30.03.2021 11:57:06","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","PO&PI","Sales order 503 dated 30.03.2021 11:57:06","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","5,000"
"Sales order 503 dated 30.03.2021 11:57:06","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","PO&PI","Sales order 503 dated 30.03.2021 11:57:06","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","10,000"
"Purchase order 1 dated 07.10.2021 16:05:14","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","PO&PI","Sales order 501 dated 30.03.2021 11:56:21","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","5,000"
"Purchase order 1 dated 07.10.2021 16:05:14","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","PO&PI","Sales order 502 dated 30.03.2021 11:56:28","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","8,000"
"Purchase order 1 dated 07.10.2021 16:05:14","3cddf099-4bbf-4c9c-807a-bb2388f83e42","PO&PI","Sales order 501 dated 30.03.2021 11:56:21","3cddf099-4bbf-4c9c-807a-bb2388f83e42","2,000"
"Purchase order 1 dated 07.10.2021 16:05:14","647c0486-7e3c-49c1-aca2-7ffcc3246b18","PO&PI","Sales order 502 dated 30.03.2021 11:56:28","647c0486-7e3c-49c1-aca2-7ffcc3246b18","11,000"
"Purchase order 1 dated 07.10.2021 16:05:14","4a003d08-12af-4c34-98d5-5cdeb84616de","PO&PI","Sales order 502 dated 30.03.2021 11:56:28","4a003d08-12af-4c34-98d5-5cdeb84616de","8,000"
