"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","26cf8da7-5911-4762-b960-2a682f753c50","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","3 914"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","26cf8da7-5911-4762-b960-2a682f753c50","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","3 914"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","26cf8da7-5911-4762-b960-2a682f753c50","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","670,08"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e1","e90425b6-2884-47dd-af25-c6c28e5c7bb2","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","5 890"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e1","e90425b6-2884-47dd-af25-c6c28e5c7bb2","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","5 890"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e1","e90425b6-2884-47dd-af25-c6c28e5c7bb2","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","1 008,37"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","c023eea2-bf19-49d5-a0ce-d80e2efdf732","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185f","19 874"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","c023eea2-bf19-49d5-a0ce-d80e2efdf732","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185d","19 874"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","c023eea2-bf19-49d5-a0ce-d80e2efdf732","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1855","0,1712","5,8411","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c185e","3 402,43"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6f75f1d83028","a4c0118e-1e6e-485d-af1e-29f91d9d20e9","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=aa78120ed92fbced11eaf113ba6c1861","23 374"
