"Ref","Key","Cancel","ItemKey","Store","NetAmount","OffersAmount","Price","PriceType","Quantity","TaxAmount","TotalAmount","Unit","SalesReturnOrder","SalesInvoice","DontCalculateRow","QuantityInBaseUnit","ProfitLossCenter","RevenueType","AdditionalAnalytic","UseGoodsReceipt"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","0cb89084-5857-45fc-b333-4fbec2c2e90a","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","418,64","26","520","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","1","75,36","494","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","False","1","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","True"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","3a8fe357-b7bd-4d83-8816-c8348bbf4595","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","563,56","35","350","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","2","101,44","665","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","False","2","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","80,51","5","100","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","1","14,49","95","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","False","1","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","c77b27bd-8d19-4d55-b590-bd5ecc463efd","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","418,64","26","520","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","1","75,36","494","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","","","False","1","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","True"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","512b5626-66dc-4fc0-b96e-359108f4d7b7","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","563,56","35","350","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","2","101,44","665","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","","","False","2","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","af263f16-367e-4b29-ab41-7bc578d06d4b","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","80,51","5","100","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","1","14,49","95","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","","","False","1","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc27","20066877-007d-46d8-b846-b80fd802aa66","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b","837,29","52","520","e1cib/data/Catalog.PriceTypes?refName=ManualPriceType","2","150,71","988","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e1","True","2","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","True"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","0cb89084-5857-45fc-b333-4fbec2c2e90a","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c5fc","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","418,64","26","520","","1","75,36","494","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Document.SalesReturnOrder?ref=b762b13668d0905011eb82fd93aedc28","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","False","1","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","3a8fe357-b7bd-4d83-8816-c8348bbf4595","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","2 817,8","175","350","","10","507,2","3 325","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Document.SalesReturnOrder?ref=b762b13668d0905011eb82fd93aedc28","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","False","10","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","f06154aa-5906-4824-9983-19e2bc9ccb96","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c605","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","13 525,42","840","8 400","","2","2 434,58","15 960","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf115bcc9c60b","e1cib/data/Document.SalesReturnOrder?ref=b762b13668d0905011eb82fd93aedc28","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","False","24","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","True"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf11c17ff4367","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","80,51","5","100","","1","14,49","95","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","e1cib/data/Document.SalesReturnOrder?ref=b762b13668d0905011eb82fd93aedc28","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","False","1","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed93fbced11eaf114c59ef02b","","False"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fdc2bd611f","68385ee3-7454-499b-ad8c-fc7d5b4d5d89","False","e1cib/data/Catalog.ItemKeys?ref=aa78120ed92fbced11eaf115bcc9c602","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c","2 817,8","175","350","e1cib/data/Catalog.PriceTypes?ref=aa78120ed92fbced11eaf114c59eeffe","10","507,2","3 325","e1cib/data/Catalog.Units?ref=aa78120ed92fbced11eaf113ba6c1862","","e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6f75f1d83028","False","10","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef025","","","False"
