"Ref","Key","Offer","Amount","Percent"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","0cb89084-5857-45fc-b333-4fbec2c2e90a","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","26","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","3a8fe357-b7bd-4d83-8816-c8348bbf4595","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","175","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e0","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","5","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e1","0a13bddb-cb97-4515-a9ef-777b6924ebf1","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","5","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","0cb89084-5857-45fc-b333-4fbec2c2e90a","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","26","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","3a8fe357-b7bd-4d83-8816-c8348bbf4595","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","175","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","f06154aa-5906-4824-9983-19e2bc9ccb96","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","840","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6187c7f2a9e2","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","5","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6f75f1d83028","54502cc1-37b6-4d72-b5a8-f75ddcd32285","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","26","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6f75f1d83028","68385ee3-7454-499b-ad8c-fc7d5b4d5d89","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","175","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6f75f1d83028","4fca5c6e-de41-4ea8-ba00-4c76733cf357","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","840","0"
"e1cib/data/Document.SalesInvoice?ref=b76197e183b782dc11eb6f75f1d83028","e01389e8-d622-458b-a95e-ca53022a5bd5","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","5","0"
