"Ref","Key","Offer","Amount"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","0cb89084-5857-45fc-b333-4fbec2c2e90a","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","26"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","3a8fe357-b7bd-4d83-8816-c8348bbf4595","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","35"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc23","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","5"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","c77b27bd-8d19-4d55-b590-bd5ecc463efd","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","26"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","512b5626-66dc-4fc0-b96e-359108f4d7b7","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","35"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc24","af263f16-367e-4b29-ab41-7bc578d06d4b","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","5"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","0cb89084-5857-45fc-b333-4fbec2c2e90a","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","26"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","3a8fe357-b7bd-4d83-8816-c8348bbf4595","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","175"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","f06154aa-5906-4824-9983-19e2bc9ccb96","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","840"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fd93aedc29","835ca87f-804e-4f3b-b02a-7a1f5d49abe0","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","5"
"e1cib/data/Document.SalesReturn?ref=b762b13668d0905011eb82fdc2bd611f","68385ee3-7454-499b-ad8c-fc7d5b4d5d89","e1cib/data/Catalog.SpecialOffers?ref=b76197e183b782dc11eb60c82e154a51","175"
