"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","282be07f-bb58-4f14-8026-ee258579e4e0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","1 546,2"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","282be07f-bb58-4f14-8026-ee258579e4e0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","1 800"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","282be07f-bb58-4f14-8026-ee258579e4e0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","5166bf4e-b159-42c0-b6d1-acfbdb63874d","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","200"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","5166bf4e-b159-42c0-b6d1-acfbdb63874d","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","0"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","5166bf4e-b159-42c0-b6d1-acfbdb63874d","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","6ae0ce54-0e61-4cb6-a7d8-a2e9ea0c97f0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","1 718"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","6ae0ce54-0e61-4cb6-a7d8-a2e9ea0c97f0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","2 000"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","6ae0ce54-0e61-4cb6-a7d8-a2e9ea0c97f0","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","7237ba99-ca61-42ec-a997-8070b2ef337b","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","2 500"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","7237ba99-ca61-42ec-a997-8070b2ef337b","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","0"
"e1cib/data/Document.OpeningEntry?ref=b762b13668d0905011eb7674324a4a43","7237ba99-ca61-42ec-a997-8070b2ef337b","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795f","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
