"Ref","Key","CurrencyFrom","Rate","ReverseRate","ShowReverseRate","Multiplicity","MovementType","Amount"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2215","f71c90d7-deed-4c1c-92d5-3dfdcaacbf28","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796b","8 760,05"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2215","f71c90d7-deed-4c1c-92d5-3dfdcaacbf28","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","7 524,88"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2215","f71c90d7-deed-4c1c-92d5-3dfdcaacbf28","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","8 760,05"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2215","f71c90d7-deed-4c1c-92d5-3dfdcaacbf28","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2217","d86afc3e-127f-46a3-922e-cd905b509b74","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796b","5 250"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2217","d86afc3e-127f-46a3-922e-cd905b509b74","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","4 509,75"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2217","d86afc3e-127f-46a3-922e-cd905b509b74","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","5 250"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2217","d86afc3e-127f-46a3-922e-cd905b509b74","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2219","a5c587a2-3b0b-4921-814b-790147b93695","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796b","7 875"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2219","a5c587a2-3b0b-4921-814b-790147b93695","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0,859","1,1641","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d796a","6 764,63"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2219","a5c587a2-3b0b-4921-814b-790147b93695","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","1","1","False","1","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7968","7 875"
"e1cib/data/Document.PurchaseOrder?ref=b76cbacb2511e57d11ebeab0dfce2219","a5c587a2-3b0b-4921-814b-790147b93695","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","0","0","False","0","e1cib/data/ChartOfCharacteristicTypes.CurrencyMovementType?ref=b762b13668d0905011eb7663e35d7969","0"
